schema_version,trade_date,trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,average_holding_bars,cumulative_net_usd,peak_to_date_net_usd,drawdown_usd,notes
1,2026-05-22,2,1,1,0,0.5,-50,-107,-53.5,1,1,5.5,-107,0,-107,daily aggregate by entry date
1,2026-05-26,2,2,0,0,1,87.5,30.5,15.25,1,1,1,-76.5,0,-76.5,daily aggregate by entry date
1,2026-05-27,1,0,1,0,0,-112.5,-141,-141,0,1,2,-217.5,0,-217.5,daily aggregate by entry date
1,2026-05-28,2,2,0,0,1,100,43,21.5,1,1,2.5,-174.5,0,-174.5,daily aggregate by entry date
1,2026-05-29,1,1,0,0,1,37.5,9,9,1,0,4,-165.5,0,-165.5,daily aggregate by entry date
1,2026-06-02,2,0,2,0,0,-487.5,-544.5,-272.25,1,1,7.5,-710,0,-710,daily aggregate by entry date
1,2026-06-03,1,1,0,0,1,100,71.5,71.5,1,0,1,-638.5,0,-638.5,daily aggregate by entry date
1,2026-06-04,2,0,2,0,0,-387.5,-444.5,-222.25,1,1,9.5,-1083,0,-1083,daily aggregate by entry date
1,2026-06-05,2,2,0,0,1,62.5,5.5,2.75,1,1,1,-1077.5,0,-1077.5,daily aggregate by entry date
1,2026-06-08,1,0,1,0,0,-175,-203.5,-203.5,0,1,38,-1281,0,-1281,daily aggregate by entry date
1,2026-06-09,2,0,2,0,0,-275,-332,-166,1,1,8.5,-1613,0,-1613,daily aggregate by entry date
1,2026-06-10,2,2,0,0,1,637.5,580.5,290.25,1,1,8,-1032.5,0,-1032.5,daily aggregate by entry date
1,2026-06-11,1,0,1,0,0,-125,-153.5,-153.5,1,0,5,-1186,0,-1186,daily aggregate by entry date
1,2026-06-12,1,1,0,0,1,337.5,309,309,1,0,31,-877,0,-877,daily aggregate by entry date
1,2026-06-15,1,0,1,0,0,-112.5,-141,-141,0,1,6,-1018,0,-1018,daily aggregate by entry date
1,2026-06-16,2,0,2,0,0,-262.5,-319.5,-159.75,1,1,27,-1337.5,0,-1337.5,daily aggregate by entry date
1,2026-06-17,2,1,1,0,0.5,181.25,124.25,62.125,1,1,22.5,-1213.25,0,-1213.25,daily aggregate by entry date
1,2026-06-18,2,1,1,0,0.5,137.5,80.5,40.25,1,1,15.5,-1132.75,0,-1132.75,daily aggregate by entry date
1,2026-06-19,1,1,0,0,1,137.5,109,109,0,1,7,-1023.75,0,-1023.75,daily aggregate by entry date
