schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_reward_risk,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0,liquidity_sweep_absorption_reversal,all,0,20,20,11,9,0,0.55,-462.5,-1032.5,-51.625,10,10,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0,liquidity_sweep_absorption_reversal,long,0,20,10,7,3,0,0.7,87.5,-197.5,-19.75,10,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0,liquidity_sweep_absorption_reversal,short,0,20,10,4,6,0,0.4,-550,-835,-83.5,0,10,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,all,0.5,20,10,4,6,0,0.4,-250,-535,-53.5,4,6,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,20,4,2,2,0,0.5,-25,-139,-34.75,4,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,20,6,2,4,0,0.33333333,-225,-396,-66,0,6,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,all,0.75,20,7,2,5,0,0.28571429,-212.5,-412,-58.85714286,2,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,long,0.75,20,2,1,1,0,0.5,75,18,9,2,0,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,short,0.75,20,5,1,4,0,0.2,-287.5,-430,-86,0,5,post-signal reward/risk filter over absorption outcomes
1,chronological_train_dates=12_holdout_dates=7,train,false,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1,liquidity_sweep_absorption_reversal,all,1,20,6,2,4,0,0.33333333,37.5,-133.5,-22.25,1,5,post-signal reward/risk filter over absorption outcomes
