schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_reward_risk,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,walk_forward_window=1:train_dates=6:holdout_dates=1,train,true,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,10,1,1,0,0,1,62.5,34,34,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=1:train_dates=6:holdout_dates=1,holdout,true,2026-06-03,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,1,0,0,0,0,0,0,0,0,0,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=2:train_dates=6:holdout_dates=1,train,true,2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,all,0.5,9,2,2,0,0,1,125,68,34,1,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=2:train_dates=6:holdout_dates=1,holdout,true,2026-06-04,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,all,0.5,2,2,0,2,0,0,-387.5,-444.5,-222.25,1,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=3:train_dates=6:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,9,1,0,1,0,0,-137.5,-166,-166,0,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=3:train_dates=6:holdout_dates=1,holdout,true,2026-06-05,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,2,0,0,0,0,0,0,0,0,0,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=4:train_dates=6:holdout_dates=1,train,true,2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,10,1,0,1,0,0,-137.5,-166,-166,0,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=4:train_dates=6:holdout_dates=1,holdout,true,2026-06-08,liquidity_sweep_absorption_reward_risk:direction=short:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,short,0.5,1,1,0,1,0,0,-175,-203.5,-203.5,0,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=5:train_dates=6:holdout_dates=1,train,true,2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,9,1,0,1,0,0,-250,-278.5,-278.5,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=5:train_dates=6:holdout_dates=1,holdout,true,2026-06-09,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.5,liquidity_sweep_absorption_reversal,long,0.5,2,1,0,1,0,0,-162.5,-191,-191,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=6:train_dates=6:holdout_dates=1,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,long,0.75,10,1,0,1,0,0,-250,-278.5,-278.5,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=6:train_dates=6:holdout_dates=1,holdout,true,2026-06-10,liquidity_sweep_absorption_reward_risk:direction=long:min_reward_risk=0.75,liquidity_sweep_absorption_reversal,long,0.75,2,1,1,0,0,1,325,296.5,296.5,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=7:train_dates=6:holdout_dates=1,train,true,2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,10,2,2,0,0,1,637.5,580.5,290.25,1,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=7:train_dates=6:holdout_dates=1,holdout,true,2026-06-11,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,1,0,0,0,0,0,0,0,0,0,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=8:train_dates=6:holdout_dates=1,train,true,2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,10,2,2,0,0,1,637.5,580.5,290.25,1,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=8:train_dates=6:holdout_dates=1,holdout,true,2026-06-12,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,1,1,1,0,0,1,337.5,309,309,1,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=9:train_dates=6:holdout_dates=1,train,true,2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,9,3,3,0,0,1,975,889.5,296.5,2,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=9:train_dates=6:holdout_dates=1,holdout,true,2026-06-15,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,1,0,0,0,0,0,0,0,0,0,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=10:train_dates=6:holdout_dates=1,train,true,2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,8,3,3,0,0,1,975,889.5,296.5,2,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=10:train_dates=6:holdout_dates=1,holdout,true,2026-06-16,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=2,liquidity_sweep_absorption_reversal,all,2,2,0,0,0,0,0,0,0,0,0,0,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=11:train_dates=6:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,all,1.5,9,3,3,0,0,1,975,889.5,296.5,2,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=11:train_dates=6:holdout_dates=1,holdout,true,2026-06-17,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,all,1.5,2,2,1,1,0,0.5,181.25,124.25,62.125,1,1,post-signal reward/risk filter over absorption outcomes
1,walk_forward_window=12:train_dates=6:holdout_dates=1,train,true,2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,liquidity_sweep_absorption_reward_risk:direction=all:min_reward_risk=1.5,liquidity_sweep_absorption_reversal,all,1.5,9,5,4,1,0,0.8,1156.25,1013.75,202.75,3,2,post-signal reward/risk filter over absorption outcomes
