schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,sweep_bar_index,sweep_extreme_price,zone_low_price,zone_high_price,zone_levels,zone_bid_volume,zone_ask_volume,zone_delta,zone_aggression_ratio,extreme_bid_volume,extreme_ask_volume,extreme_delta,extreme_aggression_ratio,level_absorption_pass,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_367:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_367:target_hit:371,liquidity_sweep_absorption_reversal_ESU26-CME_367,ESU26-CME,long,2026-5-22 10:51:16.723000,367,365,7529.75,7529.75,7530.75,2,4,0,-4,inf,1,0,-1,inf,false,target_hit,96.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_376:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_376:stop_hit:383,liquidity_sweep_absorption_reversal_ESU26-CME_376,ESU26-CME,short,2026-5-22 11:48:41.946000,376,374,7544.75,7543.75,7544.75,3,1,2,1,2,0,1,1,inf,false,stop_hit,-203.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_730:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_730:target_hit:731,liquidity_sweep_absorption_reversal_ESU26-CME_730,ESU26-CME,short,2026-5-26 11:34:08.615000,730,725,7601,7600,7601,1,0,1,1,inf,0,1,1,inf,false,target_hit,34,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_800:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_800:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_800,ESU26-CME,long,2026-5-26 13:55:37.094000,800,795,7591.5,7591.5,7592.5,3,3,0,-3,inf,1,0,-1,inf,false,target_hit,-3.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_969:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_969:stop_hit:971,liquidity_sweep_absorption_reversal_ESU26-CME_969,ESU26-CME,short,2026-5-27 12:23:51.375000,969,968,7622.75,7621.75,7622.75,1,0,1,1,inf,0,1,1,inf,false,stop_hit,-141,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_1231:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1231:target_hit:1232,liquidity_sweep_absorption_reversal_ESU26-CME_1231,ESU26-CME,short,2026-5-28 13:33:21.199000,1231,1229,7596,7595,7596,2,2,7,5,3.5,0,5,5,inf,false,target_hit,9,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_1235:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1235:target_hit:1239,liquidity_sweep_absorption_reversal_ESU26-CME_1235,ESU26-CME,long,2026-5-28 13:42:55.938000,1235,1234,7587.75,7587.75,7588.75,4,4,0,-4,inf,1,0,-1,inf,false,target_hit,34,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_1574:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1574:target_hit:1578,liquidity_sweep_absorption_reversal_ESU26-CME_1574,ESU26-CME,long,2026-5-29 14:51:50.889000,1574,1571,7647.75,7647.75,7648.75,3,5,0,-5,inf,1,0,-1,inf,false,target_hit,9,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_1998:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_1998:stop_hit:2004,liquidity_sweep_absorption_reversal_ESU26-CME_1998,ESU26-CME,long,2026-6-2 11:33:48.578000,1998,1996,7658.75,7658.75,7659.75,2,7,1,-6,7,3,0,-3,inf,false,stop_hit,-253.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_2095:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_2095:stop_hit:2104,liquidity_sweep_absorption_reversal_ESU26-CME_2095,ESU26-CME,short,2026-6-2 14:26:40.898000,2095,2091,7672,7671,7672,5,1,9,8,9,0,3,3,inf,false,stop_hit,-291,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_2216:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_2216:target_hit:2217,liquidity_sweep_absorption_reversal_ESU26-CME_2216,ESU26-CME,long,2026-6-3 13:31:08.787000,2216,2215,7669.25,7669.25,7670.25,3,22,0,-22,inf,1,0,-1,inf,true,target_hit,71.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_2517:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_2517:stop_hit:2530,liquidity_sweep_absorption_reversal_ESU26-CME_2517,ESU26-CME,long,2026-6-4 11:16:53.314000,2517,2514,7597.25,7597.25,7598.25,2,3,0,-3,inf,1,0,-1,inf,false,stop_hit,-278.5,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
1,liquidity_sweep_absorption_reversal_ESU26-CME_2623:vap_absorption,liquidity_sweep_absorption_reversal_ESU26-CME_2623:stop_hit:2629,liquidity_sweep_absorption_reversal_ESU26-CME_2623,ESU26-CME,short,2026-6-4 13:10:24.850000,2623,2618,7614,7613,7614,1,0,1,1,inf,0,1,1,inf,false,stop_hit,-166,sweep-zone VAP diagnostics; sweep_zone_points=1; minimum_zone_aggression_ratio=1.25; minimum_zone_volume=20
