schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,minimum_zone_volume,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,walk_forward_window=1:train_dates=6:holdout_dates=1,train,true,2026-05-22;2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,1,0,10,5,4,1,0,0.8,-117.5,-23.5,5,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=1:train_dates=6:holdout_dates=1,holdout,true,2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,1,0,1,1,1,0,0,1,71.5,71.5,1,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=2:train_dates=6:holdout_dates=1,train,true,2026-05-26;2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,9,1,1,0,0,1,71.5,71.5,1,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=2:train_dates=6:holdout_dates=1,holdout,true,2026-06-04,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=3:train_dates=6:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,9,1,1,0,0,1,71.5,71.5,1,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=3:train_dates=6:holdout_dates=1,holdout,true,2026-06-05,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,2,1,1,0,0,1,21.5,21.5,1,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=4:train_dates=6:holdout_dates=1,train,true,2026-05-28;2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,10,2,2,0,0,1,93,46.5,2,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=4:train_dates=6:holdout_dates=1,holdout,true,2026-06-08,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,1,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=5:train_dates=6:holdout_dates=1,train,true,2026-05-29;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,9,2,2,0,0,1,93,46.5,2,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=5:train_dates=6:holdout_dates=1,holdout,true,2026-06-09,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=6:train_dates=6:holdout_dates=1,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,10,2,2,0,0,1,93,46.5,2,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=6:train_dates=6:holdout_dates=1,holdout,true,2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,long,1,10,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=7:train_dates=6:holdout_dates=1,train,true,2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,1,5,10,6,5,1,0,0.83333333,466.5,77.75,4,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=7:train_dates=6:holdout_dates=1,holdout,true,2026-06-11,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,1,5,1,1,0,1,0,0,-153.5,-153.5,1,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=8:train_dates=6:holdout_dates=1,train,true,2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,short,1,5,10,2,2,0,0,1,268,134,0,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=8:train_dates=6:holdout_dates=1,holdout,true,2026-06-12,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,short,1,5,1,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=9:train_dates=6:holdout_dates=1,train,true,2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,1,5,9,7,5,2,0,0.71428571,550.5,78.64285714,5,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=9:train_dates=6:holdout_dates=1,holdout,true,2026-06-15,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,1,5,1,1,0,1,0,0,-141,-141,0,1,post-diagnostic VAP threshold sweep
1,walk_forward_window=10:train_dates=6:holdout_dates=1,train,true,2026-06-08;2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,2,5,8,5,3,2,0,0.6,545,109,4,1,post-diagnostic VAP threshold sweep
1,walk_forward_window=10:train_dates=6:holdout_dates=1,holdout,true,2026-06-16,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,2,5,2,1,0,1,0,0,-141,-141,0,1,post-diagnostic VAP threshold sweep
1,walk_forward_window=11:train_dates=6:holdout_dates=1,train,true,2026-06-09;2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,2,5,9,6,3,3,0,0.5,404,67.33333333,4,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=11:train_dates=6:holdout_dates=1,holdout,true,2026-06-17,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,2,5,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=12:train_dates=6:holdout_dates=1,train,true,2026-06-10;2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,2,0,9,5,3,2,0,0.6,595,119,3,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=12:train_dates=6:holdout_dates=1,holdout,true,2026-06-18,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=2:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,2,0,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=13:train_dates=6:holdout_dates=1,train,true,2026-06-11;2026-06-12;2026-06-15;2026-06-16;2026-06-17;2026-06-18,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,short,1,150,9,2,2,0,0,1,449.25,224.625,0,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=13:train_dates=6:holdout_dates=1,holdout,true,2026-06-19,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=150,liquidity_sweep_vap_absorption_reversal,short,1,150,1,1,1,0,0,1,109,109,0,1,post-diagnostic VAP threshold sweep
