schema_version,experiment_id,strategy_id,target_r_multiple,stop_buffer_points,minimum_opening_range_width_points,signal_rows,candidate_signals,rejected_signals,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,price_only_vwap_opening_range_reclaim:target_r=0.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,0.5,0,1,3030,47,2983,47,26,17,4,0.55319149,-4962.5,-6302,-134.08510638,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=0.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,0.5,0.25,1,3030,47,2983,47,26,17,4,0.55319149,-5012.5,-6352,-135.14893617,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=0.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,0.5,0.5,1,3030,47,2983,47,26,17,4,0.55319149,-5062.5,-6402,-136.21276596,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=0.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,0.5,1,1,3030,47,2983,47,27,16,4,0.57446809,-4806.25,-6145.75,-130.7606383,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,1,0,1,3030,47,2983,47,22,21,4,0.46808511,-2425,-3764.5,-80.09574468,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,1,0.25,1,3030,47,2983,47,22,21,4,0.46808511,-2412.5,-3752,-79.82978723,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,1,0.5,1,3030,47,2983,47,22,21,4,0.46808511,-2400,-3739.5,-79.56382979,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,1,1,1,3030,47,2983,47,22,21,4,0.46808511,-2500,-3839.5,-81.69148936,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,1.5,0,1,3030,47,2983,47,19,24,4,0.40425532,-1587.5,-2927,-62.27659574,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,1.5,0.25,1,3030,47,2983,47,18,25,4,0.38297872,-1843.75,-3183.25,-67.7287234,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,1.5,0.5,1,3030,47,2983,47,18,25,4,0.38297872,-1818.75,-3158.25,-67.19680851,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=1.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,1.5,1,1,3030,47,2983,47,16,25,6,0.34042553,-8118.75,-9458.25,-201.2393617,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,2,0,1,3030,47,2983,47,9,29,9,0.19148936,-16150,-17489.5,-372.11702128,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,2,0.25,1,3030,47,2983,47,8,30,9,0.17021277,-16812.5,-18152,-386.21276596,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,2,0.5,1,3030,47,2983,47,8,30,9,0.17021277,-16987.5,-18327,-389.93617021,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,2,1,1,3030,47,2983,47,9,29,9,0.19148936,-17262.5,-18602,-395.78723404,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,2.5,0,1,3030,47,2983,47,7,31,9,0.14893617,-16687.5,-18027,-383.55319149,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2.5:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,2.5,0.25,1,3030,47,2983,47,7,31,9,0.14893617,-16856.25,-18195.75,-387.14361702,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,2.5,0.5,1,3030,47,2983,47,7,31,9,0.14893617,-17025,-18364.5,-390.73404255,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,2.5,1,1,3030,47,2983,47,8,30,9,0.17021277,-16837.5,-18177,-386.74468085,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=3:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,3,0,1,3030,47,2983,47,7,31,9,0.14893617,-16025,-17364.5,-369.45744681,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=3:stop_buffer=0.25:min_or_width=1,price_only_vwap_opening_range_reclaim,3,0.25,1,3030,47,2983,47,7,31,9,0.14893617,-16150,-17489.5,-372.11702128,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=3:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,3,0.5,1,3030,47,2983,47,6,32,9,0.12765957,-16825,-18164.5,-386.4787234,11,36,price-only parameter sweep aggregate
1,price_only_vwap_opening_range_reclaim:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,3,1,1,3030,47,2983,47,7,31,9,0.14893617,-16575,-17914.5,-381.15957447,11,36,price-only parameter sweep aggregate
