schema_version,split_id,sample,selected_on_train,trade_dates,bar_rows,experiment_id,strategy_id,direction_filter,target_r_multiple,stop_buffer_points,minimum_opening_range_width_points,signal_rows,candidate_signals,rejected_signals,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,walk_forward_window=1:train_dates=3:holdout_dates=1,train,true,2026-06-10;2026-06-11;2026-06-12,1215,price_only_vwap_opening_range_reclaim:direction=long:target_r=0.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,long,0.5,0,1,1215,29,1186,1,0,1,0,0,-925,-953.5,-953.5,1,0,price-only parameter sweep aggregate
1,walk_forward_window=1:train_dates=3:holdout_dates=1,holdout,true,2026-06-15,405,price_only_vwap_opening_range_reclaim:direction=long:target_r=0.5:stop_buffer=0:min_or_width=1,price_only_vwap_opening_range_reclaim,long,0.5,0,1,405,6,399,6,5,1,0,0.83333333,700,529,88.16666667,6,0,price-only parameter sweep aggregate
1,walk_forward_window=2:train_dates=3:holdout_dates=1,train,true,2026-06-11;2026-06-12;2026-06-15,1215,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,1,1,1215,27,1188,6,3,2,1,0.5,3575,3404,567.33333333,6,0,price-only parameter sweep aggregate
1,walk_forward_window=2:train_dates=3:holdout_dates=1,holdout,true,2026-06-16,405,price_only_vwap_opening_range_reclaim:direction=long:target_r=3:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,3,1,1,405,4,401,4,0,4,0,0,-1262.5,-1376.5,-344.125,4,0,price-only parameter sweep aggregate
1,walk_forward_window=3:train_dates=3:holdout_dates=1,train,true,2026-06-12;2026-06-15;2026-06-16,1215,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,1,1,1215,15,1200,10,4,5,1,0.4,2456.25,2171.25,217.125,10,0,price-only parameter sweep aggregate
1,walk_forward_window=3:train_dates=3:holdout_dates=1,holdout,true,2026-06-17,405,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,1,1,405,7,398,0,0,0,0,0,0,0,0,0,0,price-only parameter sweep aggregate
1,walk_forward_window=4:train_dates=3:holdout_dates=1,train,true,2026-06-15;2026-06-16;2026-06-17,1215,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,1,1,1215,17,1198,10,4,5,1,0.4,2456.25,2171.25,217.125,10,0,price-only parameter sweep aggregate
1,walk_forward_window=4:train_dates=3:holdout_dates=1,holdout,true,2026-06-18,405,price_only_vwap_opening_range_reclaim:direction=long:target_r=2.5:stop_buffer=1:min_or_width=1,price_only_vwap_opening_range_reclaim,long,2.5,1,1,405,1,404,0,0,0,0,0,0,0,0,0,0,price-only parameter sweep aggregate
1,walk_forward_window=5:train_dates=3:holdout_dates=1,train,true,2026-06-16;2026-06-17;2026-06-18,1215,price_only_vwap_opening_range_reclaim:direction=short:target_r=1.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,short,1.5,0.5,1,1215,12,1203,8,4,3,1,0.5,812.5,584.5,73.0625,0,8,price-only parameter sweep aggregate
1,walk_forward_window=5:train_dates=3:holdout_dates=1,holdout,true,2026-06-19,195,price_only_vwap_opening_range_reclaim:direction=short:target_r=1.5:stop_buffer=0.5:min_or_width=1,price_only_vwap_opening_range_reclaim,short,1.5,0.5,1,195,0,195,0,0,0,0,0,0,0,0,0,0,price-only parameter sweep aggregate
