schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,1,2,2,breakeven,1003,1003,1003,584,418,6,412,1,0,6,0.00598205,-95300,-152471,-152.01495513,426,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=long:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,long,1,2,2,breakeven,1003,426,426,261,164,3,161,1,0,3,0.00704225,-43700,-67982,-159.58215962,426,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=short:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,short,1,2,2,breakeven,1003,577,577,323,254,3,251,0,0,3,0.00519931,-51600,-84489,-146.42807626,0,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,1,2,2,initial,1003,1003,1003,584,418,391,27,1,0,391,0.38983051,-59500,-116671,-116.3220339,426,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=long:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,long,1,2,2,initial,1003,426,426,261,164,154,10,1,0,154,0.36150235,-29600,-53882,-126.48356808,426,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=short:first_target_points=1:stop_points=2:runner_target_points=2:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,short,1,2,2,initial,1003,577,577,323,254,237,17,0,0,237,0.41074523,-29900,-62789,-108.81975737,0,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=1:stop_points=2:runner_target_points=3:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,1,2,3,breakeven,1003,1003,1003,584,418,6,412,1,0,6,0.00598205,-95000,-152171,-151.71585244,426,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=long:first_target_points=1:stop_points=2:runner_target_points=3:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,long,1,2,3,breakeven,1003,426,426,261,164,3,161,1,0,3,0.00704225,-43550,-67832,-159.23004695,426,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=short:first_target_points=1:stop_points=2:runner_target_points=3:runner_stop_mode=breakeven,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,short,1,2,3,breakeven,1003,577,577,323,254,3,251,0,0,3,0.00519931,-51450,-84339,-146.16811092,0,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=delta_impulse_continue_10bar_2.5pt_50d_inverted_fade:direction=all:first_target_points=1:stop_points=2:runner_target_points=3:runner_stop_mode=initial,delta_impulse_continue_10bar_2.5pt_50d_inverted_fade,all,1,2,3,initial,1003,1003,1003,584,418,361,56,2,0,362,0.36091725,-47250,-104421,-104.10867398,426,577,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
