schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_open_price,entry_close_price,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,session_open_price,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,continuation_edge_score,fade_edge_score,directional_open_distance_points,opening_range_high,opening_range_low,opening_range_points,entry_position_in_opening_range,opening_range_continuation_edge_score,opening_range_fade_edge_score,directional_opening_range_breakout_points,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,session_bars_so_far,session_average_volume,session_average_trades,entry_volume_to_session_average_volume,entry_trades_to_session_average_trades,lookback_volume_to_session_average_volume,lookback_trades_to_session_average_trades,exit_reason,first_target_hit,net_usd,notes
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_15:runner_target_hit:18:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_15:runner_target_hit:18,ESU26-CME:2:15:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_15,ESU26-CME,short,2025-11-03  10:15:00,15,20,15,45,7040.25,7050.25,7035.25,7032.25,10,5,8,0.8,-16.75,-1198,1198,42.75,6.85,14649.26666667,11577.33333333,677,9.75,7045.5,7040.25,16694,12775,-460,1.45985401,1.16788321,1.76957164,1.13957923,1.10344927,0.67946824,7080.25,7081.5,7036.25,45.25,0.08839779,0.91160221,0.08839779,40,7081.5,7044.25,37.25,-0.10738255,1.10738255,-0.10738255,4,33,0.57894737,0.42105263,16,14777.0625,11652.1875,1.12972385,1.09636066,0.99135174,0.99357596,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20:full_stop_hit:22:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20:full_stop_hit:22,ESU26-CME:2:20:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20,ESU26-CME,short,2025-11-03  10:30:00,20,20,20,60,7023.75,7033.75,7018.75,7015.75,10,5,8,0.8,-22.25,-816,816,56.75,7.225,14460.7,11401.65,657,5.25,7026.75,7023.75,15951,12349,269,1.38408304,1.10726644,1.24200913,1.10305863,1.08308885,0.40943683,7080.25,7081.5,7021.5,60,0.0375,0.9625,0.0375,56.5,7081.5,7044.25,37.25,-0.55033557,1.55033557,-0.55033557,20.5,49.5,0.61111111,0.38888889,21,14531.66666667,11446.76190476,1.09767175,1.07882038,0.99511641,0.99605898,full_stop_hit,false,-1057,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_26:runner_target_hit:29:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_26:runner_target_hit:29,ESU26-CME:2:26:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_26,ESU26-CME,long,2025-11-03  10:48:00,26,20,20,78,7042.25,7032.25,7047.25,7050.25,10,5,8,0.8,3.75,1141,1141,36.25,7.4125,14182.05,11079.4,558.15,5.5,7039,7042.25,11546,9039,448,1.34907251,1.07925801,2.04425334,0.81412772,0.8158384,0.80265162,7080.25,7081.5,7021.5,60,0.34583333,0.34583333,0.65416667,-38,7081.5,7044.25,37.25,-0.05369128,-0.05369128,1.05369128,-39.25,-8,0.1038961,0.8961039,27,14437.48148148,11312.74074074,0.79972397,0.79901062,0.98230775,0.97937363,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_31:runner_target_hit:43:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_31:runner_target_hit:43,ESU26-CME:2:31:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_31,ESU26-CME,long,2025-11-03  11:03:00,31,20,20,93,7046.25,7036.25,7051.25,7054.25,10,5,8,0.8,20.75,792,792,31,7.3125,13444,10494.1,538.3,4.5,7043.5,7046.25,8447,6845,-111,1.36752137,1.09401709,1.47129853,0.62831003,0.65227128,0.20620472,7080.25,7081.5,7021.5,60,0.4125,0.4125,0.5875,-34,7081.5,7044.25,37.25,0.05369128,0.05369128,0.94630872,-35.25,6.75,0.09278351,0.90721649,32,13770.125,10810.28125,0.61342944,0.63319352,0.97631648,0.9707518,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_38:full_stop_hit:41:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_38:full_stop_hit:41,ESU26-CME:2:38:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_38,ESU26-CME,short,2025-11-03  11:24:00,38,20,20,114,7042.75,7052.75,7037.75,7034.75,10,5,8,0.8,-3,-1577,1577,29.75,6.45,11304.5,8852.6,374.2,8.5,7050.25,7042.75,7800,6493,-904,1.5503876,1.24031008,4.21432389,0.68999071,0.73345684,2.41582042,7080.25,7081.5,7021.5,60,0.35416667,0.64583333,0.35416667,37.5,7081.5,7044.25,37.25,-0.04026846,1.04026846,-0.04026846,1.5,-14,0.26415094,0.73584906,39,12635.48717949,9946.12820513,0.617309,0.65281684,0.89466277,0.89005489,full_stop_hit,false,-1057,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57:full_stop_hit:58:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57:full_stop_hit:58,ESU26-CME:2:57:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57,ESU26-CME,long,2025-11-03  12:21:00,57,20,20,171,7057.75,7047.75,7062.75,7065.75,10,5,8,0.8,8,259,259,20.5,5.05,7485.05,5988.45,445.75,4,7059.25,7057.75,6286,4994,-22,1.98019802,1.58415842,0.58104319,0.83980735,0.83393867,0.04935502,7080.25,7081.5,7021.5,60,0.60416667,0.60416667,0.39583333,-22.5,7081.5,7044.25,37.25,0.36241611,0.36241611,0.63758389,-23.75,7.75,0.14027149,0.85972851,58,10950.65517241,8644.81034483,0.57402958,0.57768763,0.68352531,0.69272196,full_stop_hit,false,-1057,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_150:runner_target_hit:158:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_150:runner_target_hit:158,ESU26-CME:2:150:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_150,ESU26-CME,long,2025-11-04  10:15:00,150,20,15,45,7011.75,7001.75,7016.75,7019.75,10,5,8,0.8,24.25,1977,1977,46.25,8.21666667,17491.33333333,14200.26666667,762.53333333,4.25,7010.75,7011.75,10030,8137,266,1.21703854,0.97363083,2.59267354,0.57342684,0.57301741,0.34883721,6982.25,7014.75,6967.75,47,0.93617021,0.93617021,0.06382979,29.5,7009.75,6967.75,42,1.04761905,1.04761905,-0.04761905,2,33.75,0.48387097,0.51612903,16,17025,13821.3125,0.58913363,0.58872846,1.02739109,1.0274181,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_155:runner_target_hit:158:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_155:runner_target_hit:158,ESU26-CME:2:155:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:long,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_155,ESU26-CME,long,2025-11-04  10:30:00,155,20,20,60,7011.75,7001.75,7016.75,7019.75,10,5,8,0.8,4,1287,1287,50.25,7.2875,15408.75,12528.3,672.25,4.5,7015,7011.75,9882,8273,-730,1.37221269,1.09777015,1.91446634,0.64132392,0.66034498,1.08590554,6982.25,7018,6967.75,50.25,0.87562189,0.87562189,0.12437811,29.5,7009.75,6967.75,42,1.04761905,1.04761905,-0.04761905,2,33.75,0.42319749,0.57680251,21,15145.57142857,12325.66666667,0.65246795,0.67120102,1.0173766,1.01643995,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161:runner_target_hit:163:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161:runner_target_hit:163,ESU26-CME:2:161:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161,ESU26-CME,short,2025-11-04  10:48:00,161,20,20,78,7007.5,7017.5,7002.5,6999.5,10,5,8,0.8,-6.25,-2302,2302,34.25,5.675,11652.35,9373.25,619.95,4.5,7010.25,7007.5,10913,8052,-853,1.76211454,1.40969163,3.71320268,0.93654928,0.85904035,1.37591741,6982.25,7021.25,6967.75,53.5,0.74299065,0.25700935,0.74299065,-25.25,7009.75,6967.75,42,0.94642857,0.05357143,0.94642857,-39.75,-11.5,0.20720721,0.79279279,27,13920.77777778,11276.37037037,0.78393608,0.71405955,0.83704734,0.83122935,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166:runner_target_hit:187:scaled_context:20,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166:runner_target_hit:187,ESU26-CME:2:166:delta_impulse_continue_10bar_2.5pt_50d:candidate_signal:short,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166,ESU26-CME,short,2025-11-04  11:03:00,166,20,20,93,7002,7012,6997,6994,10,5,8,0.8,-14.25,-4690,4690,23.5,5.3375,10607.1,8462.6,699.6,5.75,7004.75,7002,9452,7861,-264,1.8735363,1.49882904,6.70383076,0.89110124,0.92891074,0.37735849,6982.25,7021.25,6967.75,53.5,0.64018692,0.35981308,0.64018692,-19.75,7009.75,6967.75,42,0.81547619,0.18452381,0.81547619,-34.25,9,0.16363636,0.83636364,32,13510.4375,10899.75,0.69960725,0.7212092,0.78510411,0.77640313,runner_target_hit,true,593,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
