schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,min_minutes_after_rth_open,max_minutes_after_rth_open,max_risk_to_average_bar_range,max_runner_target_to_average_bar_range,min_signal_abs_delta_sum_to_average_abs_delta,max_signal_abs_delta_sum_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,min_continuation_edge_score,min_opening_range_continuation_edge_score,min_directional_opening_range_breakout_points,min_lookback_efficiency_ratio,max_lookback_choppiness_score,min_entry_volume_to_session_average_volume,min_lookback_volume_to_session_average_volume,input_context_rows,evaluated_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unfiltered_net_usd,participation_rate,filter_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,48,25,17,4,4,0,17,0.68,4625,185,58.70890768,1614,0.52083333,3011,6,19,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2025-11-13;2025-11-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,all,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,12,7,4,2,1,0,4,0.57142857,-49,-7,-283.08782986,-2034,0.58333333,1985,3,4,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12;2025-11-13;2025-11-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,48,18,13,1,4,0,13,0.72222222,5424,301.33333333,184.38591981,-2586,0.375,8010,0,18,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2025-11-17;2025-11-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,12,3,2,1,0,0,2,0.66666667,129,43,-406.07311951,516,0.25,-387,0,3,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2025-11-07;2025-11-10;2025-11-11;2025-11-12;2025-11-13;2025-11-14;2025-11-17;2025-11-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0.75:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,120,4,4,0,20,0,0.75,0,0,-999999,0,1,0,0,48,14,10,2,2,0,10,0.71428571,3202,228.71428571,65.72025087,-3336,0.29166667,6538,0,14,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2025-11-19;2025-11-20,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0.75:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,120,4,4,0,20,0,0.75,0,0,-999999,0,1,0,0,12,6,6,0,0,0,6,1,3558,593,593,516,0.5,3042,0,6,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,train,true,2025-11-11;2025-11-12;2025-11-13;2025-11-14;2025-11-17;2025-11-18;2025-11-19;2025-11-20,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,48,18,15,1,2,0,15,0.83333333,7224,401.33333333,294.74120081,-2286,0.375,9510,0,18,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,holdout,true,2025-11-21;2025-11-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,180,4,4,0,20,0.75,0,0,0,-999999,0,1,0,0,12,1,1,0,0,0,1,1,593,593,593,-1284,0.08333333,1877,0,1,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,train,true,2025-11-13;2025-11-14;2025-11-17;2025-11-18;2025-11-19;2025-11-20;2025-11-21;2025-11-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d,short,60,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,48,16,15,1,0,0,15,0.9375,7838,489.875,390.02464811,-2286,0.33333333,10124,0,16,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,holdout,true,2025-11-25;2025-11-26,scaled_context_filter:strategy=none:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,none,short,60,180,4,4,0,20,0,0,0,0,-999999,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,5466,0,-5466,0,0,"scaled context filter sweep; uses only entry-known normalized volatility, activity, and session-regime fields"
