schema_version,audit_id,split_id,sample,trade_dates,selected_context_experiment_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,exit_reason,net_usd,minutes_after_rth_open,directional_open_distance_points,directional_opening_range_breakout_points,continuation_edge_score,opening_range_continuation_edge_score,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_volume_to_session_average_volume,lookback_volume_to_session_average_volume,risk_to_average_bar_range,runner_target_to_average_bar_range,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20:full_stop_hit:22,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20:full_stop_hit:22,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_20,ESU26-CME,short,2025-11-03  10:30:00,20,full_stop_hit,-1057,60,56.5,20.5,0.9625,1.55033557,49.5,0.61111111,0.38888889,1.24200913,1.10305863,1.08308885,1.09767175,0.99511641,1.38408304,1.10726644,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57:full_stop_hit:58,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57:full_stop_hit:58,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_57,ESU26-CME,long,2025-11-03  12:21:00,57,full_stop_hit,-1057,171,-22.5,-23.75,0.60416667,0.36241611,7.75,0.14027149,0.85972851,0.58104319,0.83980735,0.83393867,0.57402958,0.68352531,1.98019802,1.58415842,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161:runner_target_hit:163,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161:runner_target_hit:163,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_161,ESU26-CME,short,2025-11-04  10:48:00,161,runner_target_hit,593,78,-25.25,-39.75,0.25700935,0.05357143,-11.5,0.20720721,0.79279279,3.71320268,0.93654928,0.85904035,0.78393608,0.83704734,1.76211454,1.40969163,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166:runner_target_hit:187,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166:runner_target_hit:187,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_166,ESU26-CME,short,2025-11-04  11:03:00,166,runner_target_hit,593,93,-19.75,-34.25,0.35981308,0.18452381,9,0.16363636,0.83636364,6.70383076,0.89110124,0.92891074,0.69960725,0.78510411,1.8735363,1.49882904,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_171:runner_target_hit:190,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_171:runner_target_hit:190,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_171,ESU26-CME,short,2025-11-04  11:18:00,171,runner_target_hit,593,108,-16,-30.5,0.42990654,0.27380952,15.5,0.26724138,0.73275862,4.55175957,1.06832336,1.07705287,0.80754506,0.75589946,1.92307692,1.53846154,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_180:runner_target_hit:188,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_180:runner_target_hit:188,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_180,ESU26-CME,short,2025-11-04  11:45:00,180,runner_target_hit,593,135,-17.75,-32.25,0.39719626,0.23214286,10,0.19047619,0.80952381,1.07153982,0.8487022,0.88407647,0.65251646,0.76884031,1.78173719,1.42538976,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_308:runner_target_hit:314,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_308:runner_target_hit:314,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_308,ESU26-CME,long,2025-11-05  11:24:00,308,runner_target_hit,593,114,33,7,0.97660819,1.20143885,7.5,0.14423077,0.85576923,5.5181967,1.45117636,1.42512278,1.03322343,0.71199026,1.6194332,1.29554656,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_430:runner_target_hit:442,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_430:runner_target_hit:442,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_430,ESU26-CME,short,2025-11-06  10:45:00,430,runner_target_hit,593,75,52.75,28.5,0.95752896,1.85074627,54.75,0.46895075,0.53104925,1.32669027,1.00937505,1.05018211,1.02245344,1.01295692,1.05124836,0.84099869,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_435:runner_target_hit:442,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_435:runner_target_hit:442,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_435,ESU26-CME,short,2025-11-06  11:00:00,435,runner_target_hit,593,90,52.75,28.5,0.92193309,1.85074627,19,0.21348315,0.78651685,4.55855757,0.94111965,0.94952393,0.93029633,0.98849952,1.08695652,0.86956522,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_442:runner_target_hit:446,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_442:runner_target_hit:446,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_442,ESU26-CME,short,2025-11-06  11:21:00,442,runner_target_hit,593,111,60,35.75,0.9822695,2.06716418,46.75,0.64261168,0.35738832,2.90345764,0.75896832,0.75485666,0.68262811,0.89941581,1.18343195,0.94674556,trade selected by context-filter walk-forward row
