schema_version,split_id,sample,selected_on_train,trade_dates,selected_context_experiment_id,veto_id,veto_name,veto_field,veto_operator,veto_threshold,minimum_kept_train_trades,selected_input_trades,kept_trades,vetoed_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unvetoed_net_usd,veto_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2025-11-03;2025-11-04;2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1,10,25,16,9,12,2,2,0,12,0.75,4388,274.25,128.48457682,4625,-237,5,11,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2025-11-13;2025-11-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1,10,7,4,3,1,2,1,0,1,0.25,-1828,-457,-796.57694268,-49,-1779,3,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2025-11-05;2025-11-06;2025-11-07;2025-11-10;2025-11-11;2025-11-12;2025-11-13;2025-11-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=6,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,6,10,18,14,4,12,0,2,0,12,0.85714286,6502,464.42857143,380.25881377,5424,1078,0,14,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2025-11-17;2025-11-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_signal_abs_delta_sum_to_average_abs_delta:field=signal_abs_delta_sum_to_average_abs_delta:op=<=:threshold=6,max_signal_abs_delta_sum_to_average_abs_delta,signal_abs_delta_sum_to_average_abs_delta,<=,6,10,3,3,0,2,1,0,0,2,0.66666667,129,43,-406.07311951,129,0,0,3,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2025-11-07;2025-11-10;2025-11-11;2025-11-12;2025-11-13;2025-11-14;2025-11-17;2025-11-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0.75:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,14,10,4,8,0,2,0,8,0.8,4130,413,299.15800423,3202,928,0,10,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2025-11-19;2025-11-20,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-120:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0.75:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,6,3,3,3,0,0,0,3,1,1779,593,593,3558,-1779,0,3,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,train,true,2025-11-11;2025-11-12;2025-11-13;2025-11-14;2025-11-17;2025-11-18;2025-11-19;2025-11-20,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,18,13,5,11,0,2,0,11,0.84615385,5909,454.53846154,364.47703507,7224,-1315,0,13,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,holdout,true,2025-11-21;2025-11-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0.75:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,1,1,0,1,0,0,0,1,1,593,593,593,593,0,0,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,train,true,2025-11-13;2025-11-14;2025-11-17;2025-11-18;2025-11-19;2025-11-20;2025-11-21;2025-11-24,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,16,11,5,11,0,0,0,11,1,6523,593,593,7838,-1315,0,11,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,holdout,true,2025-11-25;2025-11-26,scaled_context_filter:strategy=none:direction=short:minutes=60-180:max_risk_avg_range=4:max_runner_avg_range=4:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=max_entry_volume_to_average_volume:field=entry_volume_to_average_volume:op=<=:threshold=1.25,max_entry_volume_to_average_volume,entry_volume_to_average_volume,<=,1.25,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,second-stage single-feature veto selected on train rows only
