schema_version,split_id,sample,selected_on_train,trade_dates,selected_context_experiment_id,veto_id,veto_name,veto_field,veto_operator,veto_threshold,minimum_kept_train_trades,selected_input_trades,kept_trades,vetoed_trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,average_net_usd_lower_bound,unvetoed_net_usd,veto_net_improvement_usd,long_trades,short_trades,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:none,none,none,none,0,10,12,12,0,5,5,2,0,5,0.41666667,-2934,-244.5,-462.05626667,-2934,0,8,4,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:none,none,none,none,0,10,2,2,0,0,1,1,0,0,0,-1364,-682,-947.16504294,-1364,0,1,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:none,none,none,none,0,10,12,12,0,3,6,3,0,3,0.25,-5484,-457,-653.05483927,-5484,0,7,5,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-05-13;2026-05-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:none,none,none,none,0,10,7,7,0,7,0,0,0,7,1,4151,593,593,4151,0,7,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=0.75,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,0.75,10,14,12,2,8,2,2,0,8,0.66666667,2016,168,-16.41913314,652,1364,9,3,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-05-15;2026-05-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=0.75,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,0.75,10,1,1,0,0,1,0,0,0,0,-1057,-1057,-1057,-1057,0,1,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,train,true,2026-04-24;2026-05-01;2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,13,10,3,7,2,1,0,7,0.7,1730,173,-38.91979615,-691,2421,9,1,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=7:train_dates=8:holdout_dates=2,holdout,true,2026-05-20;2026-05-21,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,6,5,1,4,1,0,0,4,0.8,1315,263,-32.16097303,258,1057,5,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,train,true,2026-05-04;2026-05-05;2026-05-13;2026-05-14;2026-05-15;2026-05-18;2026-05-20;2026-05-21,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=60-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,12,11,1,10,0,0,1,10,0.90909091,5398,490.72727273,393.21405337,4341,1057,11,0,second-stage single-feature veto selected on train rows only
1,scaled_context_filter_walk_forward_window=9:train_dates=8:holdout_dates=2,holdout,true,2026-05-22;2026-05-26,scaled_context_filter:strategy=none:direction=all:minutes=60-390:max_risk_avg_range=12:max_runner_avg_range=12:signal_delta_avg=10-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,selected_veto:name=min_opening_range_continuation_edge_score:field=opening_range_continuation_edge_score:op=>=:threshold=1.5,min_opening_range_continuation_edge_score,opening_range_continuation_edge_score,>=,1.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,second-stage single-feature veto selected on train rows only
