schema_version,trade_date,expected_session_timezone,local_timezone,ny_utc_offset_hours,ny_dst_active,expected_session_start_time,expected_local_session_start_time,expected_session_end_time,expected_local_session_end_time,first_bar_time,last_bar_time,first_bar_delay_seconds,last_bar_seconds_before_expected_end,check_time,check_time_rows,first_30m_volume_share,first_60m_volume_share,session_start_5m_volume,session_start_5m_volume_rank,session_start_5m_trades,session_start_5m_trade_rank,top_volume_5m_bin,top_volume_5m_volume,top_trade_5m_bin,top_trade_5m_trades,notes
1,2025-09-15,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.13154673,0.20819656,23805,3,18299,3,15:55,67962,15:55,36659,first bar aligns with expected New York session start; no rows at check time
1,2025-09-16,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.16542787,0.27688022,33360,2,24757,2,15:55,78180,15:55,33317,first bar aligns with expected New York session start; no rows at check time
1,2025-09-17,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.09918483,0.15991907,35001,11,23830,13,15:55,54564,14:35,38090,first bar aligns with expected New York session start; no rows at check time
1,2025-09-18,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.17152151,0.28440659,45056,2,34282,1,15:55,56804,09:30,34282,first bar aligns with expected New York session start; no rows at check time
1,2025-09-19,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.14183581,0.21104402,58266,2,41370,1,15:55,99425,09:30,41370,first bar aligns with expected New York session start; no rows at check time
1,2025-09-22,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.12461238,0.21496437,31958,3,23523,2,15:55,62918,15:55,23903,first bar aligns with expected New York session start; no rows at check time
1,2025-09-23,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.09768519,0.16980023,28620,5,20450,5,15:55,65876,15:50,29114,first bar aligns with expected New York session start; no rows at check time
1,2025-09-24,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.12550176,0.19998313,34335,2,23773,2,15:55,64370,15:55,26554,first bar aligns with expected New York session start; no rows at check time
1,2025-09-25,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.16320316,0.2822537,54025,2,39379,1,15:55,58785,09:30,39379,first bar aligns with expected New York session start; no rows at check time
1,2025-09-26,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.14073352,0.29131751,41802,2,32088,1,15:55,51067,09:30,32088,first bar aligns with expected New York session start; no rows at check time
1,2025-09-29,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.13334119,0.22637118,36047,2,27588,1,15:55,65317,09:30,27588,first bar aligns with expected New York session start; no rows at check time
1,2025-09-30,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.09128678,0.17204229,31130,5,24314,4,15:55,123610,15:55,47440,first bar aligns with expected New York session start; no rows at check time
1,2025-10-01,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.16538537,0.25614041,52105,2,39331,1,15:55,75683,09:30,39331,first bar aligns with expected New York session start; no rows at check time
1,2025-10-02,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.14833978,0.24839748,35332,2,26891,1,15:55,66416,09:30,26891,first bar aligns with expected New York session start; no rows at check time
1,2025-10-03,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.09161022,0.17334792,31197,6,24523,4,15:55,74981,13:00,34756,first bar aligns with expected New York session start; no rows at check time
1,2025-10-06,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:12:00,0,180,16:30:00,0,0.15601388,0.2645491,36261,2,28239,1,15:55,54985,09:30,28239,first bar aligns with expected New York session start; no rows at check time
