schema_version,trade_date,expected_session_timezone,local_timezone,ny_utc_offset_hours,ny_dst_active,expected_session_start_time,expected_local_session_start_time,expected_session_end_time,expected_local_session_end_time,first_bar_time,last_bar_time,first_bar_delay_seconds,last_bar_seconds_before_expected_end,check_time,check_time_rows,first_30m_volume_share,first_60m_volume_share,session_start_5m_volume,session_start_5m_volume_rank,session_start_5m_trades,session_start_5m_trade_rank,top_volume_5m_bin,top_volume_5m_volume,top_trade_5m_bin,top_trade_5m_trades,notes
1,2026-05-21,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.494,16:09:03.948,0.494,356.052,16:30:00,0,0.12845622,0.22465438,93,2,69,4,13:10,124,13:10,114,first bar aligns with expected New York session start; no rows at check time
1,2026-05-22,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.133,16:11:01.091,0.133,238.909,16:30:00,0,0.17327025,0.2613838,43,9,41,9,13:25,158,13:25,136,first bar aligns with expected New York session start; no rows at check time
1,2026-05-25,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:01.238,12:59:10.922,1.238,11749.078,16:30:00,0,0.08517034,0.14228457,3,21,3,19,11:10,463,11:10,141,first bar aligns with expected New York session start; no rows at check time
1,2026-05-26,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.496,16:05:21.353,0.496,578.647,16:30:00,0,0.24179431,0.34682713,92,1,50,1,09:30,92,09:30,50,first bar aligns with expected New York session start; no rows at check time
1,2026-05-27,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.104,16:14:34.596,0.104,25.404,16:30:00,0,0.15732087,0.36682243,88,3,47,3,10:30,199,10:30,155,first bar aligns with expected New York session start; no rows at check time
1,2026-05-28,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.426,16:14:58.368,0.426,1.632,16:30:00,0,0.08201655,0.47554552,27,9,21,12,10:10,334,10:10,249,first bar aligns with expected New York session start; no rows at check time
1,2026-05-29,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:01.551,16:11:22.587,1.551,217.413,16:30:00,0,0.05898123,0.11863271,24,16,23,12,10:50,219,10:50,185,first bar aligns with expected New York session start; no rows at check time
1,2026-06-01,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.002,16:10:05.921,0.002,294.079,16:30:00,0,0.10245902,0.25122951,39,26,39,18,13:40,212,13:40,182,first bar aligns with expected New York session start; no rows at check time
1,2026-06-02,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.052,16:11:10.321,0.052,229.679,16:30:00,0,0.12889518,0.23843248,119,2,96,1,13:45,249,09:30,96,first bar aligns with expected New York session start; no rows at check time
1,2026-06-03,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.036,16:13:18.456,0.036,101.544,16:30:00,0,0.15683646,0.26782842,62,20,44,32,15:50,211,09:45,170,first bar aligns with expected New York session start; no rows at check time
1,2026-06-04,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.174,16:14:45.058,0.174,14.942,16:30:00,0,0.17466828,0.28443908,185,5,169,5,16:00,866,16:00,706,first bar aligns with expected New York session start; no rows at check time
1,2026-06-05,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:27.438,0,32.562,16:30:00,0,0.15718043,0.29016307,294,5,279,3,10:00,392,10:00,373,first bar aligns with expected New York session start; no rows at check time
1,2026-06-08,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.001,16:13:01.432,0.001,118.568,16:30:00,0,0.14303797,0.21993671,312,3,293,1,12:35,379,09:30,293,first bar aligns with expected New York session start; no rows at check time
1,2026-06-09,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.001,16:14:34.194,0.001,25.806,16:30:00,0,0.05738928,0.12817662,384,37,377,35,15:55,2798,15:55,1655,first bar aligns with expected New York session start; no rows at check time
1,2026-06-10,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.001,16:14:46.021,0.001,13.979,16:30:00,0,0.14319894,0.23934426,1511,4,1456,4,15:55,2879,15:55,2235,first bar aligns with expected New York session start; no rows at check time
1,2026-06-11,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00.001,16:14:53.433,0.001,6.567,16:30:00,0,0.0857269,0.15493432,2628,22,2394,20,15:55,12569,13:30,9019,first bar aligns with expected New York session start; no rows at check time
1,2026-06-12,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:31.806,0,28.194,16:30:00,0,0.17168886,0.26568904,12795,3,10468,4,15:55,21443,15:55,14344,first bar aligns with expected New York session start; no rows at check time
1,2026-06-15,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:35.019,0,24.981,16:30:00,0,0.14222035,0.24041703,30661,2,24816,2,15:55,105525,15:55,52377,first bar aligns with expected New York session start; no rows at check time
1,2026-06-16,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:33.834,0,26.166,16:30:00,0,0.11005877,0.22473309,26783,3,23073,2,15:55,85589,15:55,48585,first bar aligns with expected New York session start; no rows at check time
1,2026-06-17,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:57.843,0,2.157,16:30:00,0,0.08223085,0.14907192,27048,11,23951,9,15:55,83284,15:55,56157,first bar aligns with expected New York session start; no rows at check time
1,2026-06-18,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,16:14:35.001,0,24.999,16:30:00,0,0.16904742,0.27376833,52810,2,40870,2,15:55,125764,15:55,62487,first bar aligns with expected New York session start; no rows at check time
1,2026-06-19,America/New_York,Europe/Vilnius,-4,true,09:30:00 EDT,16:30:00 EEST,16:15:00 EDT,23:15:00 EEST,09:30:00,12:59:58.675002,0,11701.324998,16:30:00,0,0.23749286,0.42487554,3602,1,2893,2,09:30,3602,10:00,2991,first bar aligns with expected New York session start; no rows at check time
