schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_session_range_points,max_fade_edge_score,max_vwap_stretch_points,max_open_stretch_points,maximum_daily_losses,daily_loss_limit_usd,maximum_consecutive_losses,consecutive_loss_pause_trade_dates,maximum_equity_drawdown_usd,drawdown_pause_trade_dates,input_regime_rows,auction_eligible_trades,auction_skipped_trades,auction_skipped_target_hits,auction_skipped_losses,auction_skipped_other_exits,auction_skipped_net_usd,state_warmup_rows,accepted_trades,health_skipped_trades,target_hits,losses,other_exits,health_skipped_target_hits,health_skipped_losses,health_skipped_other_exits,win_rate,net_usd,health_skipped_net_usd,average_net_usd,max_equity_drawdown_usd,total_candidate_net_usd,long_trades,short_trades,notes
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,1,150,1,0,250,0,12,9,3,0,3,0,-735.5,0,9,0,7,2,0,0,0,0,0.77777778,2018.5,0,224.27777778,-241,1283,5,4,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=1:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,1,10,20,1,150,1,0,250,0,3,0,3,0,3,0,-798,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-798,0,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,0.85,10,20,1,150,1,0,250,0,11,8,3,0,3,0,-610.5,0,8,0,6,2,0,0,0,0,0.75,1465.75,0,183.21875,-241,855.25,4,4,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_session_range=50:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,50,0.85,10,20,1,150,1,0,250,0,4,0,4,0,4,0,-926.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-926.5,0,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,120,35,0.75,6,6,1,150,1,0,250,0,11,4,7,0,7,0,-1687,0,4,0,4,0,0,0,0,0,1,879.75,0,219.9375,0,-807.25,2,2,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_session_range=35:max_fade_edge=0.75:max_vwap_stretch=6:max_open_stretch=6:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,120,35,0.75,6,6,1,150,1,0,250,0,4,0,4,0,4,0,-751.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-751.5,0,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,120,35,0.85,10,20,1,150,1,0,250,0,11,4,7,0,7,0,-1624.5,0,4,0,2,2,0,0,0,0,0.5,392.25,0,98.0625,-191,-1232.25,2,2,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_session_range=35:max_fade_edge=0.85:max_vwap_stretch=10:max_open_stretch=20:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,120,35,0.85,10,20,1,150,1,0,250,0,3,0,3,0,3,0,-673,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-673,0,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,1,150,1,0,250,0,11,4,7,0,7,0,-1749.5,0,4,0,1,3,0,0,0,0,0.25,-151.5,0,-37.875,-332,-1901,4,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
1,auction_regime_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_auction_regime_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_session_range=999:max_fade_edge=1:max_vwap_stretch=999:max_open_stretch=999:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,long,999,0,120,999,1,999,999,1,150,1,0,250,0,2,1,1,0,1,0,-203.5,4,1,0,0,1,0,0,0,0,0,-128.5,0,-128.5,-128.5,-332,1,0,"selected auction-regime guard first, then train-selected closed-trade health gate on auction-eligible rows"
