schema_version,experiment_id,strategy_id,direction_filter,target_r_multiple,breakeven_trigger_r,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,breakeven_exits,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,all,1,0.5,43048,23,23,9,11,3,0,0.39130435,-437.5,-1093,-47.52173913,12,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,long,1,0.5,43048,12,12,4,5,3,0,0.33333333,-337.5,-679.5,-56.625,12,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=1:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,short,1,0.5,43048,11,11,5,6,0,0,0.45454545,-100,-413.5,-37.59090909,0,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1:breakeven_trigger_r=0.75,liquidity_sweep_absorption_reversal,all,1,0.75,43048,23,23,11,11,1,0,0.47826087,12.5,-643,-27.95652174,12,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1:breakeven_trigger_r=0.75,liquidity_sweep_absorption_reversal,long,1,0.75,43048,12,12,6,5,1,0,0.5,112.5,-229.5,-19.125,12,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=1:breakeven_trigger_r=0.75,liquidity_sweep_absorption_reversal,short,1,0.75,43048,11,11,5,6,0,0,0.45454545,-100,-413.5,-37.59090909,0,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1.25:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,all,1.25,0.5,43048,23,23,8,11,4,0,0.34782609,-221.875,-877.375,-38.14673913,12,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1.25:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,long,1.25,0.5,43048,12,12,4,5,3,0,0.33333333,-159.375,-501.375,-41.78125,12,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=1.25:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,short,1.25,0.5,43048,11,11,4,6,1,0,0.36363636,-62.5,-376,-34.18181818,0,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1.25:breakeven_trigger_r=0.75,liquidity_sweep_absorption_reversal,all,1.25,0.75,43048,23,23,9,11,3,0,0.39130435,-65.625,-721.125,-31.35326087,12,11,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
