schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,target_r_multiple,breakeven_trigger_r,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,breakeven_exits,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,breakeven_stop_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,all,2.5,1.25,2675,12,12,8,3,1,0,0.66666667,3275,2933,244.41666667,7,5,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,all,2.5,1.25,1486,3,3,0,3,0,0,0,-712.5,-798,-266,1,2,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,all,2.5,1.25,2567,11,11,7,3,1,0,0.63636364,2775,2461.5,223.77272727,6,5,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,all,2.5,1.25,5454,4,4,1,3,0,0,0.25,-375,-489,-122.25,2,2,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,long,2,1.25,3260,6,6,4,2,0,0,0.66666667,862.5,691.5,115.25,6,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,long,2,1.25,11603,2,2,0,2,0,0,0,-275,-332,-166,2,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,long,2,1.25,7576,6,6,3,3,0,0,0.5,512.5,341.5,56.91666667,6,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2:breakeven_trigger_r=1.25,liquidity_sweep_absorption_reversal,long,2,1.25,13393,1,1,0,1,0,0,0,-175,-203.5,-203.5,1,0,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,short,2,0.5,14600,5,5,2,3,0,0,0.4,175,32.5,6.5,0,5,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
1,breakeven_stop_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_breakeven_stop:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2:breakeven_trigger_r=0.5,liquidity_sweep_absorption_reversal,short,2,0.5,13424,1,1,0,1,0,0,0,-175,-203.5,-203.5,0,1,"post-signal dynamic exit sweep using logged entry/stop, replacement target R, and breakeven stop trigger"
