schema_version,context_id,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,risk_points,target_distance_points,original_reward_risk,sweep_abs_delta,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,target_distance_to_average_bar_range,sweep_abs_delta_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:quality,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173,liquidity_sweep_absorption_reversal_ESU26-CME_165,ESU26-CME,long,2026-05-21  11:10:50,165,50,50,100,5,11.625,2.325,2,19.5,0.315,2.84,2.28,2.12,0.5,3,3,1,15.87301587,36.9047619,0.94339623,1.05633803,1.31578947,0.47169811,target_hit,552.75,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:quality,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276,liquidity_sweep_absorption_reversal_ESU26-CME_263,ESU26-CME,short,2026-05-21  13:12:42,263,50,50,222,5,12.875,2.575,1,28.5,0.365,3.9,3.08,2.86,0.75,3,3,-3,13.69863014,35.2739726,0.34965035,0.76923077,0.97402597,1.04895105,stop_hit,-278.5,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:quality,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637,liquidity_sweep_absorption_reversal_ESU26-CME_616,ESU26-CME,long,2026-05-22  10:31:37,616,50,50,61,3.25,10.625,3.26923077,1,15.5,0.415,2.84,2.72,1.84,0.75,3,3,3,7.8313253,25.60240964,0.54347826,1.05633803,1.10294118,1.63043478,target_hit,502.75,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:quality,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_771,ESU26-CME,short,2026-05-22  13:37:14,771,50,50,247,6.25,10.875,1.74,3,20.25,0.615,5.2,4.7,3.36,0.25,2,2,-2,10.16260163,17.68292683,0.89285714,0.38461538,0.42553191,0.5952381,target_hit,515.25,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:quality,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919,liquidity_sweep_absorption_reversal_ESU26-CME_918,ESU26-CME,long,2026-05-25  11:10:55,918,50,17,100,2.5,1.625,0.65,165,10.5,0.73529412,22.94117647,7.88235294,18.58823529,0.75,3,3,-1,3.4,2.21,8.87658228,0.13076923,0.38059701,0.05379747,target_hit,52.75,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:quality,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937,liquidity_sweep_absorption_reversal_ESU26-CME_934,ESU26-CME,short,2026-05-25  11:14:19,934,50,33,104,2.5,2.375,0.95,3,15.75,0.71212121,19.27272727,6.93939394,14.72727273,1,10,9,-8,3.5106383,3.33510638,0.2037037,0.51886792,1.29694323,0.54320988,target_hit,90.25,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058,liquidity_sweep_absorption_reversal_ESU26-CME_1043,ESU26-CME,short,2026-05-26  11:02:56,1043,50,50,92,3.25,7.875,2.42307692,3,13.5,0.47,4.68,3.84,3.32,0.75,2,2,2,6.91489362,16.75531915,0.90361446,0.42735043,0.52083333,0.60240964,target_hit,365.25,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118,liquidity_sweep_absorption_reversal_ESU26-CME_1104,ESU26-CME,long,2026-05-26  12:17:53,1104,50,50,167,2.75,8.625,3.13636364,2,21,0.345,3.06,2.6,1.58,0.5,5,4,5,7.97101449,25,1.26582278,1.63398693,1.53846154,3.16455696,stop_hit,-166,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308,liquidity_sweep_absorption_reversal_ESU26-CME_1298,ESU26-CME,long,2026-05-27  11:25:16,1298,50,50,115,3.25,8.375,2.57692308,1,19.75,0.63,5.94,5.06,4.58,1,16,10,2,5.15873016,13.29365079,0.21834061,2.69360269,1.97628458,0.43668122,stop_hit,-191,rolling pre-entry volatility/activity context from orderflow bar export
1,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:quality:context:50,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843,liquidity_sweep_absorption_reversal_ESU26-CME_1796,ESU26-CME,long,2026-05-29  10:51:24,1796,50,50,81,6.5,8,1.23076923,2,24,0.455,2.88,2.86,2.2,1,24,6,24,14.28571429,17.58241758,0.90909091,8.33333333,2.0979021,10.90909091,target_hit,371.5,rolling pre-entry volatility/activity context from orderflow bar export
