schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_sweep_abs_delta,max_risk_to_average_bar_range,max_target_distance_to_average_bar_range,max_sweep_abs_delta_to_average_abs_delta,min_entry_volume_to_average_volume,min_entry_trades_to_average_trades,input_context_rows,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,999999,999999,1,0,0,12,8,6,2,0,0.75,1928.25,241.03125,4,4,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,999999,999999,1,0,0,3,1,0,1,0,0,-403.5,-403.5,1,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,999999,999999,1,0,0,11,6,5,1,0,0.83333333,1654,275.66666667,3,3,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,999999,999999,1,0,0,4,1,0,1,0,0,-403.5,-403.5,1,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999:max_risk_avg_range=999999:max_target_avg_range=24:max_sweep_avg_delta=999999:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,2.5,0,120,999999,999999,24,999999,0,0,11,4,4,0,0,1,879.75,219.9375,2,2,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_context_filter:strategy=none:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999:max_risk_avg_range=999999:max_target_avg_range=24:max_sweep_avg_delta=999999:min_volume_avg=0:min_trades_avg=0,none,all,2.5,0,120,999999,999999,24,999999,0,0,4,0,0,0,0,0,0,0,0,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=24:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,all,999,0,120,3,999999,24,1,0,0,11,4,2,2,0,0.5,392.25,98.0625,2,2,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_context_filter:strategy=none:direction=all:max_rr=999:minutes=0-120:max_sweep_abs_delta=3:max_risk_avg_range=999999:max_target_avg_range=24:max_sweep_avg_delta=1:min_volume_avg=0:min_trades_avg=0,none,all,999,0,120,3,999999,24,1,0,0,3,0,0,0,0,0,0,0,0,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=2:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,long,999,0,120,10,999999,999999,2,0,0,11,4,1,3,0,0.25,-151.5,-37.875,4,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=2:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,long,999,0,120,10,999999,999999,2,0,0,2,1,0,1,0,0,-128.5,-128.5,1,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-240:max_sweep_abs_delta=10:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=2:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,long,999,0,240,10,999999,999999,2,0,0,11,4,1,3,0,0.25,-364,-91,4,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
1,context_filter_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,signal_context_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-240:max_sweep_abs_delta=10:max_risk_avg_range=999999:max_target_avg_range=999999:max_sweep_avg_delta=2:min_volume_avg=0:min_trades_avg=0,liquidity_sweep_absorption_reversal,long,999,0,240,10,999999,999999,2,0,0,3,1,0,1,0,0,-128.5,-128.5,1,0,context filter sweep over original outcome diagnostics; uses only entry-known rolling volatility/activity fields
