schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,maximum_daily_losses,daily_loss_limit_usd,maximum_consecutive_losses,consecutive_loss_pause_trade_dates,maximum_equity_drawdown_usd,drawdown_pause_trade_dates,input_diagnostic_rows,state_warmup_rows,accepted_trades,skipped_trades,target_hits,losses,other_exits,skipped_target_hits,skipped_losses,skipped_other_exits,win_rate,net_usd,skipped_net_usd,average_net_usd,max_equity_drawdown_usd,long_trades,short_trades,notes
1,health_gate_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,0,250,0,12,0,12,0,7,5,0,0,0,0,0.58333333,1283,0,106.91666667,-532,7,5,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,0,250,0,3,12,2,1,0,2,0,0,1,0,0,-394.5,-403.5,-197.25,-394.5,0,2,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,1,250,0,11,0,9,2,6,3,0,0,2,0,0.66666667,1337.25,-482,148.58333333,-394.5,4,5,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,1,250,0,4,11,1,3,0,1,0,0,3,0,0,-153.5,-773,-153.5,-153.5,0,1,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,1,250,0,11,0,7,4,4,3,0,0,4,0,0.57142857,319.25,-1126.5,45.60714286,-394.5,3,4,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,1,150,1,1,250,0,4,11,1,3,0,1,0,0,3,0,0,-153.5,-598,-153.5,-153.5,0,1,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,150,1,1,250,2,11,0,5,6,2,3,0,0,6,0,0.4,176.25,-1408.5,35.25,-394.5,2,3,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,150,1,1,250,2,3,11,1,2,0,1,0,0,2,0,0,-203.5,-469.5,-203.5,-203.5,1,0,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,150,1,0,250,3,11,0,5,6,1,4,0,0,6,0,0.2,-555,-1346,-111,-735.5,4,1,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=3,liquidity_sweep_absorption_reversal,1,150,1,0,250,3,2,11,1,1,0,1,0,0,1,0,0,-203.5,-128.5,-203.5,-203.5,0,1,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=500:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,150,1,1,500,2,11,0,4,7,1,3,0,0,7,0,0.25,-176.5,-1737,-44.125,-548,1,3,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
1,health_gate_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,signal_health_gate:strategy=liquidity_sweep_absorption_reversal:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=500:drawdown_pause_dates=2,liquidity_sweep_absorption_reversal,1,150,1,1,500,2,3,11,1,2,0,1,0,0,2,0,0,-128.5,-282,-128.5,-128.5,1,0,health gate sweep over realized signal outcomes; gates use only closed accepted trades and reset drawdown baseline after a drawdown pause
