schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,exit_time,entry_bar_index,exit_bar_index,entry_price,stop_price,target_price,exit_reason,scanned_bars,risk_points,target_distance_points,max_favorable_points,max_favorable_r,max_adverse_points,max_adverse_r,first_target_bar_index,first_target_time,first_stop_bar_index,first_stop_time,bars_to_max_favorable,bars_to_max_adverse,diagnostic_label,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:path,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173,liquidity_sweep_absorption_reversal_ESU26-CME_165,ESU26-CME,long,2026-05-21  11:10:50,2026-5-21 11:13:47.303000,165,173,7472.25,7467.25,7483.875,target_hit,8,5,11.625,12.25,2.45,0.25,0.05,173,2026-5-21 11:13:47.303000,,,8,3,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:path,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276,liquidity_sweep_absorption_reversal_ESU26-CME_263,ESU26-CME,short,2026-05-21  13:12:42,2026-5-21 13:15:27.913000,263,276,7496.75,7501.75,7483.875,stop_hit,13,5,12.875,0.75,0.15,6.75,1.35,,,276,2026-5-21 13:15:27.913000,1,13,stop_reached_target_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:path,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637,liquidity_sweep_absorption_reversal_ESU26-CME_616,ESU26-CME,long,2026-05-22  10:31:37,2026-5-22 11:05:14.014000,616,637,7552,7548.75,7562.625,target_hit,21,3.25,10.625,10.75,3.30769231,2.25,0.69230769,637,2026-5-22 11:05:14.014000,,,21,1,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:path,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_771,ESU26-CME,short,2026-05-22  13:37:14,2026-5-22 14:04:19.453001,771,801,7573.5,7579.75,7562.625,target_hit,30,6.25,10.875,11,1.76,5.25,0.84,801,2026-5-22 14:04:19.453001,,,30,3,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:path,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919,liquidity_sweep_absorption_reversal_ESU26-CME_918,ESU26-CME,long,2026-05-25  11:10:55,2026-5-25 11:10:56.625000,918,919,7620.75,7618.25,7622.375,target_hit,1,2.5,1.625,1.75,0.7,0,0,919,2026-5-25 11:10:56.625000,,,1,,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:path,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937,liquidity_sweep_absorption_reversal_ESU26-CME_934,ESU26-CME,short,2026-05-25  11:14:19,2026-5-25 11:21:44.536000,934,937,7624.75,7627.25,7622.375,target_hit,3,2.5,2.375,3.75,1.5,0,0,937,2026-5-25 11:21:44.536000,,,3,,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:path,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058,liquidity_sweep_absorption_reversal_ESU26-CME_1043,ESU26-CME,short,2026-05-26  11:02:56,2026-5-26 11:28:00.261000,1043,1058,7602.25,7605.5,7594.375,target_hit,15,3.25,7.875,9.25,2.84615385,0.25,0.07692308,1058,2026-5-26 11:28:00.261000,,,15,7,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:path,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118,liquidity_sweep_absorption_reversal_ESU26-CME_1104,ESU26-CME,long,2026-05-26  12:17:53,2026-5-26 13:23:31.621000,1104,1118,7585.75,7583,7594.375,stop_hit,14,2.75,8.625,8.25,3,4.25,1.54545455,,,1118,2026-5-26 13:23:31.621000,5,14,stop_reached_target_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:path,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308,liquidity_sweep_absorption_reversal_ESU26-CME_1298,ESU26-CME,long,2026-05-27  11:25:16,2026-5-27 11:43:29.342000,1298,1308,7588.25,7585,7596.625,stop_hit,10,3.25,8.375,7.25,2.23076923,4,1.23076923,,,1308,2026-5-27 11:43:29.342000,6,10,stop_reached_target_not_reached,path diagnostic from first bar after entry through evaluated exit
1,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:path,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843,liquidity_sweep_absorption_reversal_ESU26-CME_1796,ESU26-CME,long,2026-05-29  10:51:24,2026-5-29 11:10:57.718000,1796,1843,7653,7646.5,7661,target_hit,47,6.5,8,9.25,1.42307692,5.25,0.80769231,1843,2026-5-29 11:10:57.718000,,,47,11,target_reached_stop_not_reached,path diagnostic from first bar after entry through evaluated exit
