schema_version,diagnostic_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,entry_hour,minutes_after_rth_open,risk_points,target_distance_points,original_reward_risk,sweep_bar_index,bars_after_sweep,sweep_delta,sweep_abs_delta,sweep_aggression_ratio,confirmation_close_location,max_favorable_r,max_adverse_r,exit_reason,net_usd,notes
1,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173:quality,liquidity_sweep_absorption_reversal_ESU26-CME_165:target_hit:173,liquidity_sweep_absorption_reversal_ESU26-CME_165,ESU26-CME,long,2026-05-21  11:10:50,165,11,100,5,11.625,2.325,163,2,-2,2,1.4,1,2.45,0.05,target_hit,552.75,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276:quality,liquidity_sweep_absorption_reversal_ESU26-CME_263:stop_hit:276,liquidity_sweep_absorption_reversal_ESU26-CME_263,ESU26-CME,short,2026-05-21  13:12:42,263,13,222,5,12.875,2.575,261,2,1,1,999999,0,0.15,1.35,stop_hit,-278.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637:quality,liquidity_sweep_absorption_reversal_ESU26-CME_616:target_hit:637,liquidity_sweep_absorption_reversal_ESU26-CME_616,ESU26-CME,long,2026-05-22  10:31:37,616,10,61,3.25,10.625,3.26923077,615,1,-1,1,999999,1,3.30769231,0.69230769,target_hit,502.75,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801:quality,liquidity_sweep_absorption_reversal_ESU26-CME_771:target_hit:801,liquidity_sweep_absorption_reversal_ESU26-CME_771,ESU26-CME,short,2026-05-22  13:37:14,771,13,247,6.25,10.875,1.74,766,5,3,3,999999,0,1.76,0.84,target_hit,515.25,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919:quality,liquidity_sweep_absorption_reversal_ESU26-CME_918:target_hit:919,liquidity_sweep_absorption_reversal_ESU26-CME_918,ESU26-CME,long,2026-05-25  11:10:55,918,11,100,2.5,1.625,0.65,917,1,-165,165,16,1,0.7,0,target_hit,52.75,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937:quality,liquidity_sweep_absorption_reversal_ESU26-CME_934:target_hit:937,liquidity_sweep_absorption_reversal_ESU26-CME_934,ESU26-CME,short,2026-05-25  11:14:19,934,11,104,2.5,2.375,0.95,933,1,3,3,999999,0,1.5,0,target_hit,90.25,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1043:target_hit:1058,liquidity_sweep_absorption_reversal_ESU26-CME_1043,ESU26-CME,short,2026-05-26  11:02:56,1043,11,92,3.25,7.875,2.42307692,1038,5,3,3,999999,0,2.84615385,0.07692308,target_hit,365.25,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1104:stop_hit:1118,liquidity_sweep_absorption_reversal_ESU26-CME_1104,ESU26-CME,long,2026-05-26  12:17:53,1104,12,167,2.75,8.625,3.13636364,1103,1,-2,2,3,1,3,1.54545455,stop_hit,-166,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1298:stop_hit:1308,liquidity_sweep_absorption_reversal_ESU26-CME_1298,ESU26-CME,long,2026-05-27  11:25:16,1298,11,115,3.25,8.375,2.57692308,1297,1,-1,1,1.5,1,2.23076923,1.23076923,stop_hit,-191,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843:quality,liquidity_sweep_absorption_reversal_ESU26-CME_1796:target_hit:1843,liquidity_sweep_absorption_reversal_ESU26-CME_1796,ESU26-CME,long,2026-05-29  10:51:24,1796,10,81,6.5,8,1.23076923,1793,3,-2,2,999999,1,1.42307692,0.80769231,target_hit,371.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246:quality,liquidity_sweep_absorption_reversal_ESU26-CME_2243:stop_hit:2246,liquidity_sweep_absorption_reversal_ESU26-CME_2243,ESU26-CME,short,2026-06-01  11:31:21,2243,11,121,4.25,7.875,1.85294118,2241,2,8,8,999999,0,0.05882353,1,stop_hit,-241,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3013:stop_hit:3032,liquidity_sweep_absorption_reversal_ESU26-CME_3013,ESU26-CME,long,2026-06-03  12:57:17,3013,12,207,5.25,18.375,3.5,3008,5,-13,13,2.08333333,1,0.47619048,1.04761905,stop_hit,-291,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357:quality,liquidity_sweep_absorption_reversal_ESU26-CME_3355:stop_hit:3357,liquidity_sweep_absorption_reversal_ESU26-CME_3355,ESU26-CME,short,2026-06-04  10:32:05,3355,10,62,2.5,10.5,4.2,3354,1,1,1,1.5,0,0,1.5,stop_hit,-153.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5390:stop_hit:5393,liquidity_sweep_absorption_reversal_ESU26-CME_5390,ESU26-CME,short,2026-06-08  11:18:08,5390,11,108,4.25,18.25,4.29411765,5388,2,2,2,2,0,0,1.17647059,stop_hit,-241,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666:quality,liquidity_sweep_absorption_reversal_ESU26-CME_5659:stop_hit:5666,liquidity_sweep_absorption_reversal_ESU26-CME_5659,ESU26-CME,long,2026-06-08  13:15:04,5659,13,225,7.5,15.75,2.1,5655,4,-2,2,3,1,0,1.16666667,stop_hit,-403.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517:quality,liquidity_sweep_absorption_reversal_ESU26-CME_11477:stop_hit:11517,liquidity_sweep_absorption_reversal_ESU26-CME_11477,ESU26-CME,short,2026-06-10  10:30:57,11477,10,60,2.5,26.625,10.65,11476,1,5,5,3.5,0,4.5,1.2,stop_hit,-153.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009:quality,liquidity_sweep_absorption_reversal_ESU26-CME_12007:stop_hit:12009,liquidity_sweep_absorption_reversal_ESU26-CME_12007,ESU26-CME,long,2026-06-10  11:10:45,12007,11,100,2,27.125,13.5625,12005,2,-6,6,7,1,0,1.75,stop_hit,-128.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766:quality,liquidity_sweep_absorption_reversal_ESU26-CME_16761:stop_hit:16766,liquidity_sweep_absorption_reversal_ESU26-CME_16761,ESU26-CME,long,2026-06-11  10:58:10,16761,10,88,3.5,25.875,7.39285714,16756,5,-4,4,5,1,0.14285714,1.07142857,stop_hit,-203.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070:quality,liquidity_sweep_absorption_reversal_ESU26-CME_19000:stop_hit:19070,liquidity_sweep_absorption_reversal_ESU26-CME_19000,ESU26-CME,short,2026-06-11  13:29:26,19000,13,239,4.75,25.125,5.28947368,18995,5,37,37,6.28571429,0,2.31578947,1,stop_hit,-266,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701:quality,liquidity_sweep_absorption_reversal_ESU26-CME_24697:stop_hit:24701,liquidity_sweep_absorption_reversal_ESU26-CME_24697,ESU26-CME,short,2026-06-12  10:54:39,24697,10,84,3.5,28.5,8.14285714,24693,4,9,9,1.28125,0,0.07142857,1.07142857,stop_hit,-203.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027:quality,liquidity_sweep_absorption_reversal_ESU26-CME_32971:stop_hit:33027,liquidity_sweep_absorption_reversal_ESU26-CME_32971,ESU26-CME,long,2026-06-17  10:42:16,32971,10,72,2,9.25,4.625,32970,1,-10,10,1.25641026,1,3.75,1.125,stop_hit,-128.5,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909:quality,liquidity_sweep_absorption_reversal_ESU26-CME_42907:stop_hit:42909,liquidity_sweep_absorption_reversal_ESU26-CME_42907,ESU26-CME,short,2026-06-19  10:46:47,42907,10,76,1.75,3.25,1.85714286,42906,1,31,31,1.35632184,0,0.14285714,1,stop_hit,-116,quality diagnostic from signal notes and outcome/path rows
1,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046:quality,liquidity_sweep_absorption_reversal_ESU26-CME_43034:stop_hit:43046,liquidity_sweep_absorption_reversal_ESU26-CME_43034,ESU26-CME,long,2026-06-19  12:59:30,43034,12,209,2.75,2.75,1,43032,2,-26,26,1.92857143,1,0.36363636,1.09090909,stop_hit,-166,quality diagnostic from signal notes and outcome/path rows
