schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_sweep_abs_delta,input_diagnostic_rows,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,quality_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-390:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,2.5,0,390,3,12,5,5,0,0,1,1895,379,2,3,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-390:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,2.5,0,390,3,3,1,0,1,0,0,-403.5,-403.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,11,7,5,2,0,0.71428571,1488,212.57142857,4,3,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,4,1,0,1,0,0,-403.5,-403.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999,liquidity_sweep_absorption_reversal,all,2.5,0,120,999999,11,4,4,0,0,1,879.75,219.9375,2,2,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_quality_filter:strategy=none:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999,none,all,2.5,0,120,999999,4,0,0,0,0,0,0,0,0,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-180:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,3.5,0,180,3,11,4,2,2,0,0.5,379.75,94.9375,3,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_quality_filter:strategy=none:direction=all:max_rr=3.5:minutes=0-180:max_sweep_abs_delta=3,none,all,3.5,0,180,3,3,0,0,0,0,0,0,0,0,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10,liquidity_sweep_absorption_reversal,long,999,0,120,10,11,4,1,3,0,0.25,-151.5,-37.875,4,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,quality_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10,liquidity_sweep_absorption_reversal,long,999,0,120,10,2,1,0,1,0,0,-128.5,-128.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
