schema_version,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_sweep_abs_delta,input_diagnostic_rows,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,all,1.5,0,120,3,23,2,2,0,0,1,461.75,230.875,1,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,long,1.5,0,120,3,23,1,1,0,0,1,371.5,371.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=short:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=3,liquidity_sweep_absorption_reversal,short,1.5,0,120,3,23,1,1,0,0,1,90.25,90.25,0,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=5,liquidity_sweep_absorption_reversal,all,1.5,0,120,5,23,2,2,0,0,1,461.75,230.875,1,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=5,liquidity_sweep_absorption_reversal,long,1.5,0,120,5,23,1,1,0,0,1,371.5,371.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=short:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=5,liquidity_sweep_absorption_reversal,short,1.5,0,120,5,23,1,1,0,0,1,90.25,90.25,0,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=10,liquidity_sweep_absorption_reversal,all,1.5,0,120,10,23,2,2,0,0,1,461.75,230.875,1,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=10,liquidity_sweep_absorption_reversal,long,1.5,0,120,10,23,1,1,0,0,1,371.5,371.5,1,0,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=short:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=10,liquidity_sweep_absorption_reversal,short,1.5,0,120,10,23,1,1,0,0,1,90.25,90.25,0,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
1,signal_quality_filter:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=1.5:minutes=0-120:max_sweep_abs_delta=20,liquidity_sweep_absorption_reversal,all,1.5,0,120,20,23,2,2,0,0,1,461.75,230.875,1,1,entry-quality filter sweep over original outcome diagnostics; uses only entry-known diagnostic fields
