schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,max_original_reward_risk,min_minutes_after_rth_open,max_minutes_after_rth_open,max_sweep_abs_delta,maximum_daily_losses,daily_loss_limit_usd,maximum_consecutive_losses,consecutive_loss_pause_trade_dates,maximum_equity_drawdown_usd,drawdown_pause_trade_dates,input_diagnostic_rows,state_warmup_rows,accepted_trades,skipped_trades,target_hits,losses,other_exits,skipped_target_hits,skipped_losses,skipped_other_exits,win_rate,net_usd,skipped_net_usd,average_net_usd,max_equity_drawdown_usd,long_trades,short_trades,notes
1,quality_health_gate_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-390:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,390,3,1,150,1,0,250,0,5,0,5,0,5,0,0,0,0,0,1,1895,0,379,0,2,3,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-390:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,390,3,1,150,1,0,250,0,1,5,1,0,0,1,0,0,0,0,0,-403.5,0,-403.5,-403.5,1,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,1,150,1,1,250,0,7,0,6,1,5,1,0,0,1,0,0.83333333,1679,-191,279.83333333,-166,3,3,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=3.5:minutes=0-390:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,3.5,0,390,3,1,150,1,1,250,0,1,7,1,0,0,1,0,0,0,0,0,-403.5,0,-403.5,-403.5,1,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,120,999999,1,150,1,0,250,0,4,0,4,0,4,0,0,0,0,0,1,879.75,0,219.9375,0,2,2,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=2.5:minutes=0-120:max_sweep_abs_delta=999999:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,2.5,0,120,999999,1,150,1,0,250,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-240:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,240,3,1,150,1,1,250,0,7,0,4,3,2,2,0,0,3,0,0.5,417.25,-835.5,104.3125,-166,2,2,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-240:max_sweep_abs_delta=3:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,240,3,1,150,1,1,250,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,long,999,0,120,10,1,150,1,0,250,0,4,0,4,0,1,3,0,0,0,0,0.25,-151.5,0,-37.875,-332,4,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=long:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=0:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,long,999,0,120,10,1,150,1,0,250,0,1,4,1,0,0,1,0,0,0,0,0,-128.5,0,-128.5,-128.5,1,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,120,10,1,150,1,1,250,0,7,0,4,3,1,3,0,0,3,0,0.25,-139,-573,-34.75,-510.5,1,3,joint walk-forward selection of entry-quality filter and closed-trade health gate
1,quality_health_gate_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,signal_quality_health_gate:strategy=liquidity_sweep_absorption_reversal:direction=all:max_rr=999:minutes=0-120:max_sweep_abs_delta=10:max_daily_losses=1:daily_loss=150:max_consecutive_losses=1:consecutive_pause_dates=1:max_drawdown=250:drawdown_pause_dates=0,liquidity_sweep_absorption_reversal,all,999,0,120,10,1,150,1,1,250,0,1,7,0,1,0,0,0,0,1,0,0,0,-128.5,0,0,0,0,joint walk-forward selection of entry-quality filter and closed-trade health gate
