schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=all:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,all,0.75,1.5,1.5,breakeven,43048,23,23,12,11,10,1,0,0,10,0.43478261,-637.5,-1948.5,-84.7173913,12,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,0.75,1.5,1.5,breakeven,43048,12,12,6,6,6,0,0,0,6,0.5,-225,-909,-75.75,12,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,0.75,1.5,1.5,breakeven,43048,11,11,6,5,4,1,0,0,4,0.36363636,-412.5,-1039.5,-94.5,0,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=all:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,all,0.75,1.5,1.5,initial,43048,23,23,12,11,10,1,0,0,10,0.43478261,-712.5,-2023.5,-87.97826087,12,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,0.75,1.5,1.5,initial,43048,12,12,6,6,6,0,0,0,6,0.5,-225,-909,-75.75,12,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=0.75:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,short,0.75,1.5,1.5,initial,43048,11,11,6,5,4,1,0,0,4,0.36363636,-487.5,-1114.5,-101.31818182,0,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=all:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,all,0.75,1.5,2,breakeven,43048,23,23,12,11,8,3,0,0,8,0.34782609,-587.5,-1898.5,-82.54347826,12,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,0.75,1.5,2,breakeven,43048,12,12,6,6,4,2,0,0,4,0.33333333,-275,-959,-79.91666667,12,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,0.75,1.5,2,breakeven,43048,11,11,6,5,4,1,0,0,4,0.36363636,-312.5,-939.5,-85.40909091,0,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=all:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,all,0.75,1.5,2,initial,43048,23,23,12,11,10,1,0,0,10,0.43478261,-462.5,-1773.5,-77.10869565,12,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,0.75,1.5,2,initial,43048,12,12,6,6,6,0,0,0,6,0.5,-75,-759,-63.25,12,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=0.75:stop_points=1.5:runner_target_points=2:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,short,0.75,1.5,2,initial,43048,11,11,6,5,4,1,0,0,4,0.36363636,-387.5,-1014.5,-92.22727273,0,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=all:first_target_points=0.75:stop_points=1.5:runner_target_points=2.5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,all,0.75,1.5,2.5,breakeven,43048,23,23,12,11,6,5,0,0,6,0.26086957,-637.5,-1948.5,-84.7173913,12,11,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=0.75:stop_points=1.5:runner_target_points=2.5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,0.75,1.5,2.5,breakeven,43048,12,12,6,6,2,4,0,0,2,0.16666667,-425,-1109,-92.41666667,12,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
