schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,initial,2675,7,7,0,7,5,2,0,0,5,0.71428571,1525,1126,160.85714286,7,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,initial,1486,1,1,1,0,0,0,0,0,0,0,-250,-307,-307,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,breakeven,2567,6,6,0,6,3,3,0,0,6,1,1200,858,143,6,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,breakeven,5454,2,2,2,0,0,0,0,0,0,0,-500,-614,-307,2,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,1.5,1.5,5,initial,3260,6,6,2,4,3,1,0,0,3,0.5,675,333,55.5,6,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=initial,liquidity_sweep_absorption_reversal,long,1.5,1.5,5,initial,11603,2,2,2,0,0,0,0,0,0,0,-300,-414,-207,2,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,breakeven,7576,6,6,2,4,2,2,0,0,4,0.66666667,300,-42,-7,6,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=long:first_target_points=1.5:stop_points=2.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,long,1.5,2.5,5,breakeven,13393,1,1,1,0,0,0,0,0,0,0,-250,-307,-307,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,1.5,1.5,5,breakeven,14600,5,5,3,2,2,0,0,0,2,0.4,200,-85,-17,0,5,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,1.5,1.5,5,breakeven,13424,1,1,1,0,0,0,0,0,0,0,-150,-207,-207,0,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,1.5,1.5,5,breakeven,20497,6,6,4,2,2,0,0,0,2,0.33333333,50,-292,-48.66666667,0,6,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,signal_scaled_scalp:strategy=liquidity_sweep_absorption_reversal:direction=short:first_target_points=1.5:stop_points=1.5:runner_target_points=5:runner_stop_mode=breakeven,liquidity_sweep_absorption_reversal,short,1.5,1.5,5,breakeven,7535,1,1,1,0,0,0,0,0,0,0,-150,-207,-207,0,1,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
