schema_version,split_id,sample,selected_on_train,trade_dates,strategy_id,trade_date,sample_signal_occurrence,sample_duplicate_signal,signal_id,symbol,direction,entry_bar_index,entry_time,entry_price,selected_first_target_points,selected_stop_points,selected_runner_target_points,selected_runner_stop_mode,exit_reason,exit_bar_index,exit_time,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2731_long_0,ESU26-CME,long,2731,2025-12-2 10:33:00.000000,7010.25,5,10,10,initial,runner_target_hit,2733,2025-12-2 10:39:00.000000,7000.25,7015.25,7020.25,7015.25,7020.25,true,2,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2737_short_1,ESU26-CME,short,2737,2025-12-2 10:51:00.000000,7030.5,5,10,10,initial,runner_target_hit,2743,2025-12-2 11:09:00.000000,7040.5,7025.5,7020.5,7025.5,7020.5,true,6,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2746_long_2,ESU26-CME,long,2746,2025-12-2 11:18:00.000000,7013,5,10,10,initial,full_stop_hit,2747,2025-12-2 11:21:00.000000,7003,7018,7023,7003,7003,false,1,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2770_short_3,ESU26-CME,short,2770,2025-12-2 12:30:00.000000,7023,5,10,10,initial,runner_target_hit,2777,2025-12-2 12:51:00.000000,7033,7018,7013,7018,7013,true,7,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2799_long_4,ESU26-CME,long,2799,2025-12-2 13:57:00.000000,7007.75,5,10,10,initial,runner_target_hit,2817,2025-12-2 14:51:00.000000,6997.75,7012.75,7017.75,7012.75,7017.75,true,18,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2819_short_5,ESU26-CME,short,2819,2025-12-2 14:57:00.000000,7020,5,10,10,initial,runner_target_hit,2839,2025-12-2 15:57:00.000000,7030,7015,7010,7015,7010,true,20,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-02,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2824_short_6,ESU26-CME,short,2824,2025-12-2 15:12:00.000000,7021,5,10,10,initial,runner_target_hit,2839,2025-12-2 15:57:00.000000,7031,7016,7011,7016,7011,true,15,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-03,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2856_short_0,ESU26-CME,short,2856,2025-12-3 10:03:00.000000,7015,5,10,10,initial,runner_target_hit,2859,2025-12-3 10:12:00.000000,7025,7010,7005,7010,7005,true,3,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-03,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2867_short_1,ESU26-CME,short,2867,2025-12-3 10:36:00.000000,7018.25,5,10,10,initial,runner_initial_stop_hit,2886,2025-12-3 11:33:00.000000,7028.25,7013.25,7008.25,7013.25,7028.25,true,19,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-03,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2896_short_2,ESU26-CME,short,2896,2025-12-3 12:03:00.000000,7021.25,5,10,10,initial,full_stop_hit,2902,2025-12-3 12:21:00.000000,7031.25,7016.25,7011.25,7031.25,7031.25,false,6,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-12-02;2025-12-03;2025-12-04;2025-12-05;2025-12-08,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-12-03,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2902_short_3,ESU26-CME,short,2902,2025-12-3 12:21:00.000000,7030.5,5,10,10,initial,full_stop_hit,2929,2025-12-3 13:42:00.000000,7040.5,7025.5,7020.5,7040.5,7040.5,false,27,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
