schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=5:runner_stop_mode=breakeven,random_25_per_day,all,2,4,5,breakeven,4200,4200,4200,1625,2545,114,2429,32,0,2552,0.60761905,-368487.5,-397887.5,-94.73511905,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=5:runner_stop_mode=initial,random_25_per_day,all,2,4,5,initial,4200,4200,4200,1625,2545,1812,695,68,0,1853,0.44119048,-82000,-111400,-26.52380952,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=6:runner_stop_mode=breakeven,random_25_per_day,all,2,4,6,breakeven,4200,4200,4200,1625,2545,96,2446,33,0,2552,0.60761905,-368087.5,-397487.5,-94.63988095,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=6:runner_stop_mode=initial,random_25_per_day,all,2,4,6,initial,4200,4200,4200,1625,2545,1648,852,75,0,1696,0.40380952,-71175,-100575,-23.94642857,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=8:runner_stop_mode=breakeven,random_25_per_day,all,2,4,8,breakeven,4200,4200,4200,1625,2545,73,2466,36,0,2552,0.60761905,-367062.5,-396462.5,-94.39583333,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=8:runner_stop_mode=initial,random_25_per_day,all,2,4,8,initial,4200,4200,4200,1625,2545,1357,1120,98,0,1428,0.34,-73337.5,-102737.5,-24.46130952,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=10:runner_stop_mode=breakeven,random_25_per_day,all,2,4,10,breakeven,4200,4200,4200,1625,2545,45,2489,41,0,2552,0.60761905,-372637.5,-402037.5,-95.72321429,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=10:runner_stop_mode=initial,random_25_per_day,all,2,4,10,initial,4200,4200,4200,1625,2545,1128,1307,140,0,1240,0.2952381,-81375,-110775,-26.375,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,random_25_per_day,all,2,4,15,breakeven,4200,4200,4200,1625,2545,27,2501,47,0,2552,0.60761905,-372112.5,-401512.5,-95.59821429,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=2:stop_points=4:runner_target_points=15:runner_stop_mode=initial,random_25_per_day,all,2,4,15,initial,4200,4200,4200,1625,2545,756,1570,249,0,977,0.23261905,-92387.5,-121787.5,-28.99702381,2044,2156,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
