schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=5:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,5,breakeven,3306,3306,3306,1281,2020,81,1937,7,0,2021,0.61131276,-290025,-354492,-107.22686025,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=5:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,5,initial,3306,3306,3306,1281,2020,1441,565,19,0,1456,0.44041137,-62550,-127017,-38.42014519,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=6:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,6,breakeven,3306,3306,3306,1281,2020,70,1946,9,0,2021,0.61131276,-288725,-353192,-106.83363581,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=6:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,6,initial,3306,3306,3306,1281,2020,1313,687,25,0,1334,0.40350877,-52362.5,-116829.5,-35.33862674,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=8:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,8,breakeven,3306,3306,3306,1281,2020,50,1965,10,0,2021,0.61131276,-289550,-354017,-107.08318209,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=8:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,8,initial,3306,3306,3306,1281,2020,1103,889,33,0,1131,0.34210526,-44525,-108992,-32.96793708,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=10:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,10,breakeven,3306,3306,3306,1281,2020,43,1972,10,0,2021,0.61131276,-288050,-352517,-106.62946158,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=10:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,10,initial,3306,3306,3306,1281,2020,945,1040,40,0,980,0.29643073,-41625,-106092,-32.0907441,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=15:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,15,breakeven,3306,3306,3306,1281,2020,23,1988,14,0,2021,0.61131276,-290662.5,-355129.5,-107.41969147,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=15:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,15,initial,3306,3306,3306,1281,2020,655,1282,88,0,737,0.22292801,-57362.5,-121829.5,-36.85102843,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=20:runner_stop_mode=breakeven,vwap_extension_fade_1pt,all,2,4,20,breakeven,3306,3306,3306,1281,2020,15,1994,16,0,2021,0.61131276,-291637.5,-356104.5,-107.7146098,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=vwap_extension_fade_1pt:direction=all:first_target_points=2:stop_points=4:runner_target_points=20:runner_stop_mode=initial,vwap_extension_fade_1pt,all,2,4,20,initial,3306,3306,3306,1281,2020,471,1416,138,0,601,0.18179068,-80537.5,-145004.5,-43.86101028,1442,1864,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
