schema_version,context_id,outcome_id,event_key,signal_id,symbol,direction,entry_time,entry_bar_index,lookback_bars,lookback_bars_available,minutes_after_rth_open,entry_price,stop_price,first_target_price,runner_target_price,risk_points,first_target_points,runner_target_points,runner_reward_risk,signal_price_move,signal_delta_sum,signal_abs_delta_sum,lookback_range_points,average_bar_range_points,average_volume,average_trades,average_abs_delta,entry_bar_range_points,entry_open_price,entry_close_price,entry_bar_volume,entry_bar_trades,entry_bar_delta,risk_to_average_bar_range,runner_target_to_average_bar_range,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_abs_delta_to_average_abs_delta,session_open_price,session_high_so_far,session_low_so_far,session_range_points,entry_position_in_session_range,continuation_edge_score,fade_edge_score,directional_open_distance_points,opening_range_high,opening_range_low,opening_range_points,entry_position_in_opening_range,opening_range_continuation_edge_score,opening_range_fade_edge_score,directional_opening_range_breakout_points,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,session_bars_so_far,session_average_volume,session_average_trades,entry_volume_to_session_average_volume,entry_trades_to_session_average_trades,lookback_volume_to_session_average_volume,lookback_trades_to_session_average_trades,exit_reason,first_target_hit,net_usd,notes
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2731_long_0:runner_target_hit:2733:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2731_long_0:runner_target_hit:2733:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2731_long_0,ESU26-CME,long,2025-12-2 10:33:00.000000,2731,20,20,63,7010.25,7000.25,7015.25,7020.25,10,5,10,1,,-248,248,22.75,6.7625,12137,9878.7,426.1,6.5,7010.75,7010.25,16168,13192,-248,1.47874307,1.47874307,0.582023,1.33212491,1.33539838,0.582023,7016.25,7029.75,7005.25,24.5,0.20408163,0.20408163,0.79591837,-6,7026.75,7011.75,15,-0.1,-0.1,1.1,-16.5,-7.25,0.10034602,0.89965398,22,12693.63636364,10300.72727273,1.27370909,1.28068627,0.95614839,0.95902937,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2737_short_1:runner_target_hit:2743:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2737_short_1:runner_target_hit:2743:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2737_short_1,ESU26-CME,short,2025-12-2 10:51:00.000000,2737,20,20,81,7030.5,7040.5,7025.5,7020.5,10,5,10,1,,164,164,26.75,6.7625,11757.2,9527.05,560.8,5,7032,7030.5,11426,8876,164,1.47874307,1.47874307,0.29243937,0.97183003,0.931663,0.29243937,7016.25,7034,7005.25,28.75,0.87826087,0.12173913,0.87826087,-14.25,7026.75,7011.75,15,1.25,-0.25,1.25,-18.75,-16.75,0.21543408,0.78456592,28,12405.53571429,10017.57142857,0.92104043,0.8860431,0.94773819,0.9510339,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2746_long_2:full_stop_hit:2747:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2746_long_2:full_stop_hit:2747:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2746_long_2,ESU26-CME,long,2025-12-2 11:18:00.000000,2746,20,20,108,7013,7003,7018,7023,10,5,10,1,,-212,212,30.25,7.0875,13557.55,10776.05,598.05,6.75,7011.25,7013,15102,11978,-212,1.41093474,1.41093474,0.35448541,1.11391808,1.11153901,0.35448541,7016.25,7035.5,7005.25,30.25,0.25619835,0.25619835,0.74380165,-3.25,7026.75,7011.75,15,0.08333333,0.08333333,0.91666667,-13.75,-10.25,0.13531353,0.86468647,37,13144.48648649,10529.89189189,1.14892278,1.13752355,1.03142485,1.02337708,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2770_short_3:runner_target_hit:2777:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2770_short_3:runner_target_hit:2777:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2770_short_3,ESU26-CME,short,2025-12-2 12:30:00.000000,2770,20,20,180,7023,7033,7018,7013,10,5,10,1,,120,120,33.25,6.375,9484.2,7641.65,402.7,4,7021.25,7023,7602,5552,120,1.56862745,1.56862745,0.29798858,0.80154362,0.72654466,0.29798858,7016.25,7035.5,6990,45.5,0.72527473,0.27472527,0.72527473,-6.75,7026.75,7011.75,15,0.75,0.25,0.75,-11.25,-32.5,0.47794118,0.52205882,61,12087.83606557,9686.72131148,0.62889668,0.57315575,0.78460693,0.78887889,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2799_long_4:runner_target_hit:2817:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2799_long_4:runner_target_hit:2817:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2799_long_4,ESU26-CME,long,2025-12-2 13:57:00.000000,2799,20,20,267,7007.75,6997.75,7012.75,7017.75,10,5,10,1,,-251,251,16.5,5.5,6543.5,5335.95,320.1,4.25,7007.25,7007.75,5009,4210,-251,1.81818182,1.81818182,0.78412996,0.76549247,0.7889879,0.78412996,7016.25,7035.5,6990,45.5,0.39010989,0.39010989,0.60989011,-8.5,7026.75,7011.75,15,-0.26666667,-0.26666667,1.26666667,-19,9.5,0.20430108,0.79569892,90,10315.37777778,8285.62222222,0.48558571,0.50810909,0.63434419,0.64400112,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2819_short_5:runner_target_hit:2839:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2819_short_5:runner_target_hit:2839:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2819_short_5,ESU26-CME,short,2025-12-2 14:57:00.000000,2819,20,20,327,7020,7030,7015,7010,10,5,10,1,,93,93,19,4.3125,5899.6,4622.75,249.7,4,7019.75,7020,7141,5496,93,2.31884058,2.31884058,0.37244694,1.21042105,1.18890271,0.37244694,7016.25,7035.5,6990,45.5,0.65934066,0.34065934,0.65934066,-3.75,7026.75,7011.75,15,0.55,0.45,0.55,-8.25,-12.25,0.2969697,0.7030303,110,9531.89090909,7631.33636364,0.7491693,0.72018841,0.61893281,0.60575891,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2824_short_6:runner_target_hit:2839:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2824_short_6:runner_target_hit:2839:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-02_2824_short_6,ESU26-CME,short,2025-12-2 15:12:00.000000,2824,20,20,342,7021,7031,7016,7011,10,5,10,1,,161,161,18.5,3.9625,5602.9,4402.8,256.2,4.5,7019.25,7021,5147,3913,161,2.52365931,2.52365931,0.6284153,0.91863142,0.88875261,0.6284153,7016.25,7035.5,6990,45.5,0.68131868,0.31868132,0.68131868,-4.75,7026.75,7011.75,15,0.61666667,0.38333333,0.61666667,-9.25,-7.25,0.20863309,0.79136691,115,9329.4,7466.34782609,0.55169679,0.52408488,0.60056381,0.58968589,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2856_short_0:runner_target_hit:2859:718:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2856_short_0:runner_target_hit:2859:718,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2856_short_0,ESU26-CME,short,2025-12-3 10:03:00.000000,2856,20,11,33,7015,7025,7010,7005,10,5,10,1,,378,378,22.75,8.70454545,14479,12000.18181818,563.36363636,5.25,7014.5,7015,15588,12243,378,1.14882507,1.14882507,0.67096982,1.07659369,1.02023454,0.67096982,7001.25,7019.25,6992.25,27,0.84259259,0.15740741,0.84259259,-13.75,7010.75,6992.25,18.5,1.22972973,-0.22972973,1.22972973,-22.75,-7.75,0.19254658,0.80745342,12,14571.41666667,12020.41666667,1.06976558,1.01851711,0.99365767,0.99831663,runner_target_hit,true,718,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2867_short_1:runner_initial_stop_hit:2886:-282:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2867_short_1:runner_initial_stop_hit:2886:-282,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2867_short_1,ESU26-CME,short,2025-12-3 10:36:00.000000,2867,20,20,66,7018.25,7028.25,7013.25,7008.25,10,5,10,1,,215,215,33,7.2,12943.45,10383.3,809.65,7.75,7023.5,7018.25,13643,10794,215,1.38888889,1.38888889,0.26554684,1.05404664,1.0395539,0.26554684,7001.25,7025.5,6992.25,33.25,0.78195489,0.21804511,0.78195489,-17,7010.75,6992.25,18.5,1.40540541,-0.40540541,1.40540541,-26,-12.25,0.16955017,0.83044983,23,13801.60869565,11112.08695652,0.98850796,0.97137469,0.93782184,0.93441493,runner_initial_stop_hit,true,-282,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
1,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2896_short_2:full_stop_hit:2902:-1032:scaled_context:20,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2896_short_2:full_stop_hit:2902:-1032,,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-12-03_2896_short_2,ESU26-CME,short,2025-12-3 12:03:00.000000,2896,20,20,153,7021.25,7031.25,7016.25,7011.25,10,5,10,1,,106,106,19.5,5.4625,8263.3,6452.4,581.6,5.75,7021,7021.25,7216,5622,106,1.83066362,1.83066362,0.18225585,0.87325887,0.8713037,0.18225585,7001.25,7031.5,6992.25,39.25,0.7388535,0.2611465,0.7388535,-20,7010.75,6992.25,18.5,1.56756757,-0.56756757,1.56756757,-29,3.5,0.05982906,0.94017094,52,10635.11538462,8455.53846154,0.67850698,0.66488965,0.77698264,0.76309747,full_stop_hit,false,-1032,pre-entry normalized context and session-regime state for fixed scaled-scalp outcome row
