schema_version,trade_date,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,cumulative_net_usd
1,2025-12-02,7,6,1,0,0,6,0.85714286,3276,468,3276
1,2025-12-03,9,3,4,1,1,4,0.44444444,-1900.5,-211.16666667,1375.5
1,2025-12-04,11,9,2,0,0,9,0.81818182,4398,399.81818182,5773.5
1,2025-12-05,7,2,3,2,0,2,0.28571429,-2224,-317.71428571,3549.5
1,2025-12-08,8,4,4,0,0,4,0.5,-1256,-157,2293.5
1,2025-12-09,10,1,5,4,0,1,0.1,-5570,-557,-3276.5
1,2025-12-10,9,6,3,0,0,6,0.66666667,1212,134.66666667,-2064.5
1,2025-12-11,10,2,3,5,0,2,0.2,-3070,-307,-5134.5
1,2025-12-12,8,4,1,3,0,4,0.5,994,124.25,-4140.5
1,2025-12-15,10,5,3,2,0,5,0.5,-70,-7,-4210.5
1,2025-12-16,10,5,4,1,0,5,0.5,-820,-82,-5030.5
1,2025-12-17,10,1,3,6,0,1,0.1,-4070,-407,-9100.5
1,2025-12-18,11,9,1,1,0,9,0.81818182,5148,468,-3952.5
1,2025-12-19,11,6,1,0,4,9,0.81818182,3535.5,321.40909091,-417
1,2025-12-22,10,1,1,0,8,3,0.3,-1445,-144.5,-1862
1,2025-12-23,15,1,7,0,7,6,0.4,-5880,-392,-7742
1,2025-12-24,6,0,5,0,1,1,0.16666667,-4717,-786.16666667,-12459
1,2025-12-26,6,1,1,0,4,5,0.83333333,558,93,-11901
1,2025-12-29,9,4,3,1,1,5,0.55555556,-488,-54.22222222,-12389
1,2025-12-30,10,8,0,0,2,10,1,5980,598,-6409
1,2025-12-31,6,3,3,0,0,3,0.5,-942,-157,-7351
1,2026-01-02,8,5,2,1,0,5,0.625,1244,155.5,-6107
1,2026-01-05,9,6,2,0,1,7,0.77777778,2437,270.77777778,-3670
1,2026-01-06,11,4,3,0,4,7,0.63636364,148,13.45454545,-3522
1,2026-01-07,8,3,3,2,0,3,0.375,-1506,-188.25,-5028
1,2026-01-08,9,7,1,1,0,7,0.77777778,3712,412.44444444,-1316
1,2026-01-09,8,3,3,0,2,5,0.625,69,8.625,-1247
1,2026-01-12,8,0,4,1,3,3,0.375,-3831,-478.875,-5078
1,2026-01-13,9,1,4,4,0,1,0.11111111,-4538,-504.22222222,-9616
1,2026-01-14,5,3,2,0,0,3,0.6,90,18,-9526
1,2026-01-15,5,3,1,0,1,4,0.8,1452.5,290.5,-8073.5
1,2026-01-16,9,2,3,4,0,2,0.22222222,-2788,-309.77777778,-10861.5
1,2026-01-19,6,1,2,1,2,1,0.16666667,-2067,-344.5,-12928.5
1,2026-01-20,6,5,1,0,0,5,0.83333333,2558,426.33333333,-10370.5
1,2026-01-21,7,4,2,1,0,4,0.57142857,526,75.14285714,-9844.5
1,2026-01-22,10,7,3,0,0,7,0.7,1930,193,-7914.5
1,2026-01-23,10,6,2,1,1,7,0.7,1980,198,-5934.5
1,2026-01-26,14,7,3,3,1,8,0.57142857,1602,114.42857143,-4332.5
1,2026-01-27,11,5,1,0,5,10,0.90909091,4960.5,450.95454545,628
1,2026-01-28,8,4,3,1,0,4,0.5,-506,-63.25,122
1,2026-01-29,11,4,5,2,0,4,0.36363636,-2852,-259.27272727,-2730
1,2026-01-30,10,7,3,0,0,7,0.7,1930,193,-800
1,2026-02-02,7,5,0,1,1,5,0.71428571,2901,414.42857143,2101
1,2026-02-03,7,2,4,1,0,2,0.28571429,-2974,-424.85714286,-873
1,2026-02-04,6,1,4,1,0,1,0.16666667,-3692,-615.33333333,-4565
1,2026-02-05,7,6,1,0,0,6,0.85714286,3276,468,-1289
1,2026-02-06,7,2,2,3,0,2,0.28571429,-1474,-210.57142857,-2763
1,2026-02-09,8,4,2,1,1,4,0.5,319,39.875,-2444
