schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,minutes_after_rth_open,1,10,15,57,129,64,38,27,0,64,0.49612403,-878,-6.80620155
1,minutes_after_rth_open,2,10,57,93,130,60,52,17,1,61,0.46923077,-14785,-113.73076923
1,minutes_after_rth_open,3,10,93,126,130,70,36,21,3,72,0.55384615,7315,56.26923077
1,minutes_after_rth_open,4,10,126,165,130,63,41,18,8,69,0.53076923,-447.5,-3.44230769
1,minutes_after_rth_open,5,10,165,198,130,65,43,15,7,71,0.54615385,-197.5,-1.51923077
1,minutes_after_rth_open,6,10,198,231,129,64,34,24,7,68,0.52713178,4634.5,35.92635659
1,minutes_after_rth_open,7,10,231,270,130,75,24,21,10,82,0.63076923,24602.5,189.25
1,minutes_after_rth_open,8,10,270,300,130,63,34,15,18,73,0.56153846,5777.5,44.44230769
1,minutes_after_rth_open,9,10,303,339,130,59,34,13,24,77,0.59230769,7140,54.92307692
1,minutes_after_rth_open,10,10,339,375,130,49,40,4,37,72,0.55384615,-6060,-46.61538462
1,entry_bar_delta,1,10,-2764,-445,129,73,36,17,3,76,0.58914729,11222,86.99224806
1,entry_bar_delta,2,10,-444,-238,130,68,42,19,1,69,0.53076923,140,1.07692308
1,entry_bar_delta,3,10,-237,-112,130,60,45,17,8,67,0.51538462,-6110,-47
1,entry_bar_delta,4,10,-111,-29,130,63,36,23,8,70,0.53846154,3127.5,24.05769231
1,entry_bar_delta,5,10,-27,52,130,66,33,18,13,75,0.57692308,10352.5,79.63461538
1,entry_bar_delta,6,10,52,106,129,63,33,12,21,76,0.58914729,8747,67.80620155
1,entry_bar_delta,7,10,106,189,130,64,35,16,15,75,0.57692308,7052.5,54.25
1,entry_bar_delta,8,10,191,312,130,62,34,15,19,70,0.53846154,4552.5,35.01923077
1,entry_bar_delta,9,10,315,559,130,62,38,17,13,72,0.55384615,2852.5,21.94230769
1,entry_bar_delta,10,10,560,4163,130,51,44,21,14,59,0.45384615,-14835,-114.11538462
1,signal_abs_delta_sum_to_average_abs_delta,1,10,0.01746834,0.09870276,129,68,30,23,8,73,0.56589147,12472,96.68217054
1,signal_abs_delta_sum_to_average_abs_delta,2,10,0.09977195,0.17227008,130,68,44,12,6,73,0.56153846,1252.5,9.63461538
1,signal_abs_delta_sum_to_average_abs_delta,3,10,0.17315114,0.26812527,130,66,32,22,10,72,0.55384615,9052.5,69.63461538
1,signal_abs_delta_sum_to_average_abs_delta,4,10,0.26868974,0.36862216,130,53,44,17,16,63,0.48461538,-11610,-89.30769231
1,signal_abs_delta_sum_to_average_abs_delta,5,10,0.36934546,0.48317159,130,73,32,13,12,82,0.63076923,16877.5,129.82692308
1,signal_abs_delta_sum_to_average_abs_delta,6,10,0.48459805,0.63867534,129,60,43,14,12,66,0.51162791,-5190.5,-40.23643411
