schema_version,split_id,sample,selected_on_train,trade_dates,strategy_id,trade_date,sample_signal_occurrence,sample_duplicate_signal,signal_id,symbol,direction,entry_bar_index,entry_time,entry_price,selected_first_target_points,selected_stop_points,selected_runner_target_points,selected_runner_stop_mode,exit_reason,exit_bar_index,exit_time,stop_price,first_target_price,runner_target_price,leg1_exit_price,runner_exit_price,first_target_hit,holding_bars,gross_points,gross_usd,commission_usd,slippage_usd,net_usd,notes
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2710_short_0,ESU26-CME,short,2710,2025-10-13 10:00:00.000000,6858.5,5,10,10,initial,runner_target_hit,2717,2025-10-13 10:21:00.000000,6868.5,6853.5,6848.5,6853.5,6848.5,true,7,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2715_short_1,ESU26-CME,short,2715,2025-10-13 10:15:00.000000,6859.5,5,10,10,initial,runner_target_hit,2717,2025-10-13 10:21:00.000000,6869.5,6854.5,6849.5,6854.5,6849.5,true,2,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2727_long_2,ESU26-CME,long,2727,2025-10-13 10:51:00.000000,6845.25,5,10,10,initial,full_stop_hit,2731,2025-10-13 11:03:00.000000,6835.25,6850.25,6855.25,6835.25,6835.25,false,4,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2742_short_3,ESU26-CME,short,2742,2025-10-13 11:36:00.000000,6866,5,10,10,initial,runner_initial_stop_hit,2758,2025-10-13 12:24:00.000000,6876,6861,6856,6861,6876,true,16,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2749_short_4,ESU26-CME,short,2749,2025-10-13 11:57:00.000000,6866.25,5,10,10,initial,full_stop_hit,2758,2025-10-13 12:24:00.000000,6876.25,6861.25,6856.25,6876.25,6876.25,false,9,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2755_short_5,ESU26-CME,short,2755,2025-10-13 12:15:00.000000,6872.25,5,10,10,initial,runner_initial_stop_hit,2771,2025-10-13 13:03:00.000000,6882.25,6867.25,6862.25,6867.25,6882.25,true,16,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2767_short_6,ESU26-CME,short,2767,2025-10-13 12:51:00.000000,6873.5,5,10,10,initial,full_stop_hit,2771,2025-10-13 13:03:00.000000,6883.5,6868.5,6863.5,6883.5,6883.5,false,4,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2779_short_7,ESU26-CME,short,2779,2025-10-13 13:27:00.000000,6868,5,10,10,initial,runner_initial_stop_hit,2800,2025-10-13 14:30:00.000000,6878,6863,6858,6863,6878,true,21,-5,-250,7,25,-282,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2785_short_8,ESU26-CME,short,2785,2025-10-13 13:45:00.000000,6863.5,5,10,10,initial,full_stop_hit,2793,2025-10-13 14:09:00.000000,6873.5,6858.5,6853.5,6873.5,6873.5,false,8,-20,-1000,7,25,-1032,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2799_short_9,ESU26-CME,short,2799,2025-10-13 14:27:00.000000,6876.25,5,10,10,initial,runner_target_hit,2804,2025-10-13 14:42:00.000000,6886.25,6871.25,6866.25,6871.25,6866.25,true,5,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
1,scaled_scalp_walk_forward_window=1:train_dates=20:holdout_dates=5,holdout,true,2025-10-13;2025-10-14;2025-10-15;2025-10-16;2025-10-17,vwap_delta_exhaustion_fade_2pt_10d_cl0.5,2025-10-13,1,false,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2805_short_10,ESU26-CME,short,2805,2025-10-13 14:45:00.000000,6865.25,5,10,10,initial,runner_target_hit,2809,2025-10-13 14:57:00.000000,6875.25,6860.25,6855.25,6860.25,6855.25,true,4,15,750,7,25,718,ES two-contract scaled scalp; first_target_points=5; stop_points=10; runner_target_points=10; runner_stop_mode=initial; slippage_ticks_per_contract=1; entry_match_mode=bar_index
