schema_version,candidate_id,train_date_count,holdout_date_count,window_step_date_count,windows,base_trades,base_net_usd,base_average_net_usd,base_profit_factor,base_drawdown_usd,base_drawdown_to_net,health_accepted_trades,health_skipped_trades,health_net_usd,health_average_net_usd,health_profit_factor,health_drawdown_usd,health_drawdown_to_net,health_skipped_net_usd,health_negative_windows,health_negative_window_rate,health_worst_window_dates,health_worst_window_net_usd,selected_config_counts
1,exit6_stop12_runner15_initial_risk175,20,5,5,19,311,53523,172.09967846,1.47301023,-8794,0.1643032,263,48,38346.5,145.80418251,1.38808908,-6588,0.17180186,15176.5,6,0.31578947,2026-01-29;2026-01-30;2026-02-02;2026-02-03;2026-02-04,-3202,3x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 3x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 2x daily_losses=999;daily_loss=2400;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 2x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=1;daily_loss=1200;consecutive_losses=1;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=4 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=2;consecutive_pause=2;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=999999;consecutive_losses=999;consecutive_pause=0;equity_drawdown=10000;drawdown_pause=0 | 1x daily_losses=2;daily_loss=2400;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=2;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=4 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 1x daily_losses=2;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0
1,exit6_stop12_runner15_initial_risk175,40,5,5,15,265,36395,137.33962264,1.35759201,-8794,0.2416266,210,55,30042.5,143.05952381,1.37729274,-6308,0.20996921,6352.5,4,0.26666667,2026-01-29;2026-01-30;2026-02-02;2026-02-03;2026-02-04,-3202,5x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 3x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 2x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=4 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0
1,exit6_stop12_runner15_initial_risk175,40,10,10,7,246,32203,130.90650407,1.33979445,-8794,0.27308015,213,33,27546.5,129.32629108,1.33964207,-6588,0.23915924,4656.5,1,0.14285714,2026-03-31;2026-04-01;2026-04-02;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-13;2026-04-17;2026-04-20,-2843,2x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 2x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=4 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0
1,exit6_stop12_runner15_initial_risk175,60,10,10,5,183,26956.5,147.30327869,1.39969604,-5504,0.20418081,146,37,22590.5,154.72945205,1.41448557,-6308,0.27923242,4366,1,0.2,2026-03-31;2026-04-01;2026-04-02;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-13;2026-04-17;2026-04-20,-2843,2x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=2 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=2;consecutive_pause=2;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0
1,exit6_stop12_runner15_initial_risk175,80,10,10,3,99,10882,109.91919192,1.27380922,-5504,0.50578938,99,0,10882,109.91919192,1.27380922,-5504,0.50578938,0,1,0.33333333,2026-03-31;2026-04-01;2026-04-02;2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-13;2026-04-17;2026-04-20,-2039,1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=10000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=999999;consecutive_losses=999;consecutive_pause=0;equity_drawdown=10000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=2
1,exit6_stop10_runner12_initial_risk175,20,5,5,22,453,65316.5,144.18653422,1.4296587,-8828,0.13515727,352,101,46036,130.78409091,1.38335221,-8520,0.18507255,19280.5,6,0.27272727,2026-04-06;2026-04-07;2026-04-08;2026-04-09;2026-04-13,-3656,6x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 3x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 2x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 2x daily_losses=999;daily_loss=1200;consecutive_losses=2;consecutive_pause=1;equity_drawdown=4000;drawdown_pause=0 | 2x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 2x daily_losses=2;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=2;daily_loss=1200;consecutive_losses=2;consecutive_pause=1;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=2;daily_loss=1200;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=4 | 1x daily_losses=2;daily_loss=1200;consecutive_losses=2;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0
1,exit6_stop10_runner12_initial_risk175,40,5,5,18,378,55016.5,145.5462963,1.42825228,-8828,0.16046095,347,31,52896,152.43804035,1.45666137,-4844,0.09157592,2120.5,3,0.16666667,2026-03-13;2026-03-16;2026-03-17;2026-03-18;2026-03-19,-1928.5,7x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 4x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 3x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=4 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2
1,exit6_stop10_runner12_initial_risk175,40,10,10,9,378,55016.5,145.5462963,1.42825228,-8828,0.16046095,352,26,59348.5,168.60369318,1.51793171,-4844,0.08161959,-4332,1,0.11111111,2026-03-20;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-30;2026-03-31;2026-04-01;2026-04-02,-352,4x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 2x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=3600;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0
1,exit6_stop10_runner12_initial_risk175,60,10,10,7,313,42696.5,136.41054313,1.39605857,-8828,0.20676168,303,10,43816.5,144.60891089,1.42453118,-6764,0.15437107,-1120,1,0.14285714,2026-03-20;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-30;2026-03-31;2026-04-01;2026-04-02,-536,5x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=1200;consecutive_losses=2;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=2 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=0
1,exit6_stop10_runner12_initial_risk175,80,10,10,5,215,29232.5,135.96511628,1.38475966,-8828,0.30199265,212,3,30428.5,143.53066038,1.41168552,-6764,0.2222916,-1196,1,0.2,2026-03-20;2026-03-23;2026-03-24;2026-03-25;2026-03-26;2026-03-27;2026-03-30;2026-03-31;2026-04-01;2026-04-02,-536,4x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=4000;drawdown_pause=0 | 1x daily_losses=999;daily_loss=2400;consecutive_losses=999;consecutive_pause=0;equity_drawdown=7000;drawdown_pause=2
