schema_version,candidate_id,signal_id,symbol,direction,entry_time,exit_time,exit_reason,first_target_hit,net_usd,exit_first_target_points,exit_stop_points,exit_runner_target_points,exit_runner_stop_mode,lookback_directional_move_points,session_range_points,risk_to_average_bar_range,minutes_after_rth_open,entry_trades_to_session_average_trades,average_bar_range_points,entry_bar_delta
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2710_short_0,ESU26-CME,short,2025-10-13 10:00:00.000000,2025-10-13 10:21:00.000000,runner_target_hit,true,1018,6,12,15,initial,-7,35.25,1.07142857,30,1.11416978,11.2,1125
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2715_short_1,ESU26-CME,short,2025-10-13 10:15:00.000000,2025-10-13 10:21:00.000000,runner_target_hit,true,1018,6,12,15,initial,-8,35.25,1.17073171,45,0.67211769,10.25,208
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-13_2727_long_2,ESU26-CME,long,2025-10-13 10:51:00.000000,2025-10-13 11:18:00.000000,runner_target_hit,true,1018,6,12,15,initial,-10.25,35.25,1.34642356,81,0.70910506,8.9125,-477
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-14_2851_short_0,ESU26-CME,short,2025-10-14 10:18:00.000000,2025-10-14 10:27:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-17.5,60,1.05639615,48,0.88315168,11.359375,952
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-14_2856_short_1,ESU26-CME,short,2025-10-14 10:33:00.000000,2025-10-14 11:03:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-40,68.5,1.1750306,63,0.57218978,10.2125,376
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-14_2862_short_2,ESU26-CME,short,2025-10-14 10:51:00.000000,2025-10-14 11:03:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-37.25,73,1.48606811,81,0.69530839,8.075,190
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-14_2897_short_4,ESU26-CME,short,2025-10-14 12:36:00.000000,2025-10-14 12:48:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-34,115.25,1.66666667,186,0.55836461,7.2,531
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-15_2985_short_1,ESU26-CME,short,2025-10-15 10:15:00.000000,2025-10-15 11:09:00.000000,runner_target_hit,true,1018,6,12,15,initial,-28.75,42.5,1.48148148,45,0.59856995,8.1,34
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-15_3027_long_3,ESU26-CME,long,2025-10-15 12:21:00.000000,2025-10-15 12:45:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-24,64.75,1.52380952,171,0.75080403,7.875,-67
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-15_3055_long_4,ESU26-CME,long,2025-10-15 13:45:00.000000,2025-10-15 14:21:00.000000,runner_target_hit,true,1018,6,12,15,initial,-10.25,115.25,1.22137405,255,0.90848371,9.825,-261
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3133_short_2,ESU26-CME,short,2025-10-16 10:54:00.000000,2025-10-16 11:27:00.000000,runner_target_hit,true,1018,6,12,15,initial,-8.5,33.25,1.50943396,84,0.71162996,7.95,242
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3141_short_3,ESU26-CME,short,2025-10-16 11:18:00.000000,2025-10-16 11:24:00.000000,runner_target_hit,true,1018,6,12,15,initial,-10,33.25,1.67247387,108,0.47443916,7.175,61
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3150_long_4,ESU26-CME,long,2025-10-16 11:45:00.000000,2025-10-16 12:18:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-29,44.25,1.46341463,135,1.44371674,8.2,-63
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3156_long_5,ESU26-CME,long,2025-10-16 12:03:00.000000,2025-10-16 12:18:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-24,51,1.37142857,153,1.05465629,8.75,-85
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3167_long_6,ESU26-CME,long,2025-10-16 12:36:00.000000,2025-10-16 12:45:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-55.5,92,1.10471807,186,1.68589346,10.8625,-168
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3174_long_7,ESU26-CME,long,2025-10-16 12:57:00.000000,2025-10-16 13:00:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-11.75,95.75,0.97067745,207,1.12330258,12.3625,-156
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3193_long_9,ESU26-CME,long,2025-10-16 13:54:00.000000,2025-10-16 14:03:00.000000,full_stop_hit,false,-1232,6,12,15,initial,-8.5,95.75,1.18081181,264,0.75340634,10.1625,-119
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3201_long_10,ESU26-CME,long,2025-10-16 14:18:00.000000,2025-10-16 14:33:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-51.25,115,1.2749004,288,1.48218199,9.4125,-779
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3206_long_11,ESU26-CME,long,2025-10-16 14:33:00.000000,2025-10-16 14:42:00.000000,runner_target_hit,true,1018,6,12,15,initial,-48.5,118.5,1.19551681,303,1.26333001,10.0375,-74
1,exit6_stop12_runner15_initial_risk175,vwap_delta_exhaustion_fade_2pt_10d_cl0.5_2025-10-16_3211_long_12,ESU26-CME,long,2025-10-16 14:48:00.000000,2025-10-16 15:15:00.000000,runner_initial_stop_hit,true,-332,6,12,15,initial,-17.5,118.5,1.13207547,318,0.83989667,10.6,-114
