schema_version,rank,pass_count,score,first_target_points,stop_points,runner_target_points,runner_stop_mode,guard_name,guard_rules,trades,net_usd,average_net_usd,profit_factor,max_drawdown_usd,drawdown_to_net,worst_day,worst_day_net_usd,min_robustness_net_usd,min_robustness_average_net_usd,max_robustness_negative_window_rate,worst_guarded_window_loss_usd,failed_gates,robustness_windows
1,1,11,11862.58673231,6,12,15,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,60277,145.59661836,1.38073371,-8794,0.14589313,2025-10-14,-4928,49283,160.05163043,0.25,5290,minimum_fixed_guard_trades,"20/5/5:trades=368,net=58899,avg=160.05163043,neg_rate=0.25,worst=-5290,base_net=36493 | 40/5/5:trades=307,net=54851,avg=178.66775244,neg_rate=0.21428571,worst=-5290,base_net=34856.5 | 40/10/10:trades=307,net=54851,avg=178.66775244,neg_rate=0.21428571,worst=-4272,base_net=34856.5 | 60/10/10:trades=285,net=50455,avg=177.03508772,neg_rate=0.16666667,worst=-4272,base_net=32447.5 | 80/10/10:trades=256,net=49283,avg=192.51171875,neg_rate=0.1,worst=-1262,base_net=20584.5"
1,2,11,11855.71624393,6,12,12,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,59352,143.36231884,1.39611308,-8580,0.14456126,2025-10-14,-4928,52708,162.83695652,0.21428571,3940,minimum_fixed_guard_trades,"20/5/5:trades=368,net=59924,avg=162.83695652,neg_rate=0.1875,worst=-3940,base_net=52430.5 | 40/5/5:trades=307,net=56776,avg=184.93811075,neg_rate=0.14285714,worst=-3940,base_net=48719 | 40/10/10:trades=307,net=56776,avg=184.93811075,neg_rate=0.21428571,worst=-3072,base_net=48719 | 60/10/10:trades=285,net=54180,avg=190.10526316,neg_rate=0.16666667,worst=-3072,base_net=45097.5 | 80/10/10:trades=256,net=52708,avg=205.890625,neg_rate=0.1,worst=-2312,base_net=27784.5"
1,3,11,11847.0001783,6,12,10,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,58352,140.9468599,1.40844439,-7452,0.1277077,2025-10-14,-4928,50108,154.14130435,0.21428571,3740,minimum_fixed_guard_trades,"20/5/5:trades=368,net=56724,avg=154.14130435,neg_rate=0.15625,worst=-3740,base_net=53668 | 40/5/5:trades=307,net=53576,avg=174.51465798,neg_rate=0.14285714,worst=-3740,base_net=49169 | 40/10/10:trades=307,net=53576,avg=174.51465798,neg_rate=0.21428571,worst=-3012,base_net=49169 | 60/10/10:trades=285,net=51080,avg=179.22807018,neg_rate=0.16666667,worst=-3012,base_net=45372.5 | 80/10/10:trades=256,net=50108,avg=195.734375,neg_rate=0.1,worst=-3012,base_net=32059.5"
1,4,11,11752.10396855,5,12,15,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,52427,126.6352657,1.33732901,-9020,0.17204875,2025-10-14,-4928,43683,143.20380435,0.28571429,4990,minimum_fixed_guard_trades,"20/5/5:trades=368,net=52699,avg=143.20380435,neg_rate=0.25,worst=-4990,base_net=23068 | 40/5/5:trades=307,net=49101,avg=159.93811075,neg_rate=0.21428571,worst=-4990,base_net=23431.5 | 40/10/10:trades=307,net=49101,avg=159.93811075,neg_rate=0.28571429,worst=-4022,base_net=23431.5 | 60/10/10:trades=285,net=44705,avg=156.85964912,neg_rate=0.25,worst=-4022,base_net=22335 | 80/10/10:trades=256,net=43683,avg=170.63671875,neg_rate=0.2,worst=-912,base_net=12822"
1,5,11,11745.51149325,5,12,12,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,51502,124.40096618,1.35363509,-9470,0.18387635,2025-10-14,-4928,47108,145.98913043,0.21428571,3640,minimum_fixed_guard_trades,"20/5/5:trades=368,net=53724,avg=145.98913043,neg_rate=0.1875,worst=-3640,base_net=39005.5 | 40/5/5:trades=307,net=51026,avg=166.20846906,neg_rate=0.14285714,worst=-3640,base_net=37294 | 40/10/10:trades=307,net=51026,avg=166.20846906,neg_rate=0.21428571,worst=-2822,base_net=37294 | 60/10/10:trades=285,net=48430,avg=169.92982456,neg_rate=0.16666667,worst=-2822,base_net=34985 | 80/10/10:trades=256,net=47108,avg=184.015625,neg_rate=0.1,worst=-1962,base_net=20022"
1,6,11,11737.10041038,5,12,10,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,50502,121.98550725,1.36698301,-6702,0.13270762,2025-10-14,-4928,44508,137.29347826,0.21428571,3440,minimum_fixed_guard_trades,"20/5/5:trades=368,net=50524,avg=137.29347826,neg_rate=0.1875,worst=-3440,base_net=40243 | 40/5/5:trades=307,net=47826,avg=155.78501629,neg_rate=0.14285714,worst=-3440,base_net=37744 | 40/10/10:trades=307,net=47826,avg=155.78501629,neg_rate=0.21428571,worst=-2722,base_net=37744 | 60/10/10:trades=285,net=45330,avg=159.05263158,neg_rate=0.16666667,worst=-2722,base_net=35260 | 80/10/10:trades=256,net=44508,avg=173.859375,neg_rate=0.1,worst=-2662,base_net=24297"
1,7,11,11708.48060881,6,10,12,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,550,55112.5,100.20454545,1.2786112,-17420,0.31608074,2025-10-14,-5324,50968.5,135.86082474,0.21428571,5336,maximum_fixed_guard_drawdown_to_net_ratio,"20/5/5:trades=485,net=65892.5,avg=135.86082474,neg_rate=0.1875,worst=-5336,base_net=26193 | 40/5/5:trades=415,net=62832.5,avg=151.40361446,neg_rate=0.17857143,worst=-5336,base_net=27106.5 | 40/10/10:trades=415,net=62832.5,avg=151.40361446,neg_rate=0.21428571,worst=-2664,base_net=27106.5 | 60/10/10:trades=381,net=54620.5,avg=143.36089239,neg_rate=0.16666667,worst=-2664,base_net=33922.5 | 80/10/10:trades=342,net=50968.5,avg=149.03070175,neg_rate=0.1,worst=-1047.5,base_net=29559.5"
1,8,11,11692.36693558,6,10,10,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,550,52625,95.68181818,1.27440368,-14720,0.27971496,2025-10-14,-5424,48481,127.63917526,0.21428571,6136,maximum_fixed_guard_drawdown_to_net_ratio,"20/5/5:trades=485,net=61905,avg=127.63917526,neg_rate=0.1875,worst=-6136,base_net=28580.5 | 40/5/5:trades=415,net=59345,avg=143,neg_rate=0.17857143,worst=-6136,base_net=28306.5 | 40/10/10:trades=415,net=59345,avg=143,neg_rate=0.21428571,worst=-2864,base_net=28306.5 | 60/10/10:trades=381,net=51033,avg=133.94488189,neg_rate=0.16666667,worst=-2864,base_net=35447.5 | 80/10/10:trades=342,net=48481,avg=141.75730994,neg_rate=0.1,worst=-2547.5,base_net=31984.5"
1,9,10,10837.20881693,6,12,20,initial,risk175,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 1.75,414,59102,142.75845411,1.35191073,-8056,0.13630672,2025-10-14,-4928,45358,151.28804348,0.35714286,3540,minimum_fixed_guard_trades;maximum_robustness_negative_window_rate,"20/5/5:trades=368,net=55674,avg=151.28804348,neg_rate=0.34375,worst=-3540,base_net=28830.5 | 40/5/5:trades=307,net=47326,avg=154.15635179,neg_rate=0.32142857,worst=-3540,base_net=24919 | 40/10/10:trades=307,net=47326,avg=154.15635179,neg_rate=0.35714286,worst=-2464,base_net=24919 | 60/10/10:trades=285,net=48430,avg=169.92982456,neg_rate=0.33333333,worst=-2357.5,base_net=31822.5 | 80/10/10:trades=256,net=45358,avg=177.1796875,neg_rate=0.3,worst=-2357.5,base_net=21597"
1,10,10,10732.25973212,6,10,10,initial,base,lookback_directional_move_points <= -2.5; session_range_points >= 30; risk_to_average_bar_range <= 2.5,780,60202.5,77.18269231,1.22142023,-17063.5,0.28343507,2026-03-26,-5392,61167.5,103.41968162,0.25,6920,minimum_fixed_guard_profit_factor;maximum_fixed_guard_drawdown_to_net_ratio,"20/5/5:trades=691,net=71463,avg=103.41968162,neg_rate=0.21875,worst=-6920,base_net=28580.5 | 40/5/5:trades=586,net=68823,avg=117.44539249,neg_rate=0.17857143,worst=-6920,base_net=28306.5 | 40/10/10:trades=586,net=68823,avg=117.44539249,neg_rate=0.21428571,worst=-4616,base_net=28306.5 | 60/10/10:trades=535,net=61167.5,avg=114.3317757,neg_rate=0.25,worst=-4616,base_net=35447.5 | 80/10/10:trades=473,net=62739,avg=132.64059197,neg_rate=0.2,worst=-3595.5,base_net=31984.5"
