schema_version,trade_date,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd,cumulative_net_usd
1,2025-10-13,13,4,5,3,1,5,0.38461538,-2703.5,-207.96153846,-2703.5
1,2025-10-14,12,6,6,0,0,6,0.5,-1884,-157,-4587.5
1,2025-10-15,6,4,0,2,0,4,0.66666667,2308,384.66666667,-2279.5
1,2025-10-16,13,4,6,3,0,4,0.30769231,-4166,-320.46153846,-6445.5
1,2025-10-17,7,4,3,0,0,4,0.57142857,-224,-32,-6669.5
1,2025-10-20,11,2,2,3,4,5,0.45454545,-1252,-113.81818182,-7921.5
1,2025-10-21,11,11,0,0,0,11,1,7898,718,-23.5
1,2025-10-22,10,6,4,0,0,6,0.6,180,18,156.5
1,2025-10-23,11,5,2,2,2,7,0.63636364,1873,170.27272727,2029.5
1,2025-10-24,10,9,0,0,1,10,1,7055,705.5,9084.5
1,2025-10-27,8,0,7,1,0,0,0,-7506,-938.25,1578.5
1,2025-10-28,8,3,3,1,1,4,0.5,-668.5,-83.5625,910
1,2025-10-29,5,1,1,3,0,1,0.2,-1160,-232,-250
1,2025-10-30,10,7,3,0,0,7,0.7,1930,193,1680
1,2025-10-31,11,6,4,1,0,6,0.54545455,-102,-9.27272727,1578
1,2025-11-03,8,4,1,0,3,7,0.875,2319,289.875,3897
1,2025-11-04,9,5,3,1,0,5,0.55555556,212,23.55555556,4109
1,2025-11-05,9,6,2,1,0,6,0.66666667,1962,218,6071
1,2025-11-06,7,3,3,1,0,3,0.42857143,-1224,-174.85714286,4847
1,2025-11-07,9,4,5,0,0,4,0.44444444,-2288,-254.22222222,2559
1,2025-11-10,9,3,4,0,2,4,0.44444444,-2288,-254.22222222,271
1,2025-11-11,13,3,5,0,5,6,0.46153846,-3653.5,-281.03846154,-3382.5
1,2025-11-12,12,7,2,2,1,8,0.66666667,2416,201.33333333,-966.5
1,2025-11-13,12,6,5,1,0,6,0.5,-1134,-94.5,-2100.5
1,2025-11-14,7,2,4,0,1,2,0.28571429,-2786.5,-398.07142857,-4887
1,2025-11-17,8,4,4,0,0,4,0.5,-1256,-157,-6143
1,2025-11-18,10,5,2,3,0,5,0.5,680,68,-5463
1,2025-11-19,13,6,4,3,0,6,0.46153846,-666,-51.23076923,-6129
1,2025-11-20,14,8,5,1,0,8,0.57142857,302,21.57142857,-5827
1,2025-11-21,13,8,4,1,0,8,0.61538462,1334,102.61538462,-4493
1,2025-11-24,8,5,1,0,2,7,0.875,2931.5,366.4375,-1561.5
1,2025-11-25,11,4,5,2,0,4,0.36363636,-2852,-259.27272727,-4413.5
1,2025-11-26,8,6,1,1,0,6,0.75,2994,374.25,-1419.5
1,2025-11-28,6,1,3,0,2,2,0.33333333,-2467,-411.16666667,-3886.5
1,2025-12-01,8,5,1,2,0,5,0.625,1994,249.25,-1892.5
1,2025-12-02,7,6,1,0,0,6,0.85714286,3276,468,1383.5
1,2025-12-03,9,3,4,1,1,4,0.44444444,-1900.5,-211.16666667,-517
1,2025-12-04,10,9,1,0,0,9,0.9,5430,543,4913
1,2025-12-05,7,2,3,2,0,2,0.28571429,-2224,-317.71428571,2689
1,2025-12-08,8,4,4,0,0,4,0.5,-1256,-157,1433
1,2025-12-09,10,1,5,4,0,1,0.1,-5570,-557,-4137
1,2025-12-10,9,6,3,0,0,6,0.66666667,1212,134.66666667,-2925
1,2025-12-11,10,2,3,5,0,2,0.2,-3070,-307,-5995
1,2025-12-12,8,4,1,3,0,4,0.5,994,124.25,-5001
1,2025-12-15,10,5,3,2,0,5,0.5,-70,-7,-5071
1,2025-12-16,10,5,4,1,0,5,0.5,-820,-82,-5891
1,2025-12-17,10,1,3,6,0,1,0.1,-4070,-407,-9961
1,2025-12-18,11,9,1,1,0,9,0.81818182,5148,468,-4813
1,2025-12-19,11,6,1,0,4,9,0.81818182,3535.5,321.40909091,-1277.5
1,2025-12-22,10,1,1,0,8,3,0.3,-1445,-144.5,-2722.5
1,2025-12-23,15,1,7,0,7,6,0.4,-5880,-392,-8602.5
1,2025-12-24,6,0,5,0,1,1,0.16666667,-4717,-786.16666667,-13319.5
1,2025-12-26,6,1,1,0,4,5,0.83333333,558,93,-12761.5
1,2025-12-29,9,4,3,1,1,5,0.55555556,-488,-54.22222222,-13249.5
1,2025-12-30,10,8,0,0,2,10,1,5980,598,-7269.5
1,2025-12-31,6,3,3,0,0,3,0.5,-942,-157,-8211.5
1,2026-01-02,8,5,2,1,0,5,0.625,1244,155.5,-6967.5
1,2026-01-05,10,6,2,1,1,7,0.7,2155,215.5,-4812.5
1,2026-01-06,11,4,3,0,4,7,0.63636364,148,13.45454545,-4664.5
1,2026-01-07,8,3,3,2,0,3,0.375,-1506,-188.25,-6170.5
1,2026-01-08,9,7,1,1,0,7,0.77777778,3712,412.44444444,-2458.5
