schema_version,feature,bucket_index,bucket_count,min_value,max_value,trades,runner_target_hits,full_stops,runner_stop_exits,other_exits,positive_net_trades,positive_net_rate,net_usd,average_net_usd
1,minutes_after_rth_open,1,10,15,51,163,85,51,27,0,85,0.52147239,784,4.80981595
1,minutes_after_rth_open,2,10,54,90,164,77,61,25,1,78,0.47560976,-14123,-86.11585366
1,minutes_after_rth_open,3,10,90,126,164,84,49,27,4,87,0.5304878,2852,17.3902439
1,minutes_after_rth_open,4,10,126,165,164,78,54,24,8,84,0.51219512,-5023,-30.62804878
1,minutes_after_rth_open,5,10,165,198,164,75,60,20,9,83,0.50609756,-11510.5,-70.18597561
1,minutes_after_rth_open,6,10,198,231,164,79,48,28,9,84,0.51219512,-148,-0.90243902
1,minutes_after_rth_open,7,10,231,267,164,93,34,25,12,101,0.61585366,26314.5,160.45426829
1,minutes_after_rth_open,8,10,267,303,164,82,43,17,22,96,0.58536585,10464.5,63.80792683
1,minutes_after_rth_open,9,10,303,339,164,80,40,17,27,100,0.6097561,14639.5,89.2652439
1,minutes_after_rth_open,10,10,339,375,164,63,49,5,47,93,0.56707317,-4898,-29.86585366
1,entry_bar_delta,1,10,-2764,-456,163,91,49,20,3,94,0.57668712,9884,60.63803681
1,entry_bar_delta,2,10,-453,-239,164,80,57,26,1,81,0.49390244,-8698,-53.03658537
1,entry_bar_delta,3,10,-238,-114,164,76,58,22,8,83,0.50609756,-9448,-57.6097561
1,entry_bar_delta,4,10,-114,-23,164,80,44,31,9,88,0.53658537,5314.5,32.4054878
1,entry_bar_delta,5,10,-22,57,164,76,45,20,23,91,0.55487805,5827,35.5304878
1,entry_bar_delta,6,10,58,109,164,82,41,16,25,98,0.59756098,11452,69.82926829
1,entry_bar_delta,7,10,111,193,164,83,41,20,20,99,0.60365854,14352,87.51219512
1,entry_bar_delta,8,10,194,310,164,83,45,17,19,91,0.55487805,7764.5,47.3445122
1,entry_bar_delta,9,10,311,560,164,77,53,19,15,88,0.53658537,-2273,-13.8597561
1,entry_bar_delta,10,10,561,4163,164,68,56,24,16,78,0.47560976,-14823,-90.38414634
