schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=1.5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,1.5,breakeven,212,212,212,114,98,56,42,0,0,56,0.26415094,-4750,-16834,-79.40566038,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=1.5:runner_stop_mode=initial,random_25_per_day,all,0.5,1,1.5,initial,212,212,212,114,98,69,29,0,0,69,0.3254717,-5225,-17309,-81.64622642,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=2:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,2,breakeven,212,212,212,114,98,40,58,0,0,40,0.18867925,-4950,-17034,-80.3490566,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=2:runner_stop_mode=initial,random_25_per_day,all,0.5,1,2,initial,212,212,212,114,98,59,39,0,0,59,0.27830189,-5000,-17084,-80.58490566,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,3,breakeven,212,212,212,114,98,28,70,0,0,28,0.13207547,-4750,-16834,-79.40566038,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=3:runner_stop_mode=initial,random_25_per_day,all,0.5,1,3,initial,212,212,212,114,98,43,55,0,0,43,0.20283019,-5250,-17334,-81.76415094,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,5,breakeven,212,212,212,114,98,20,78,0,0,20,0.09433962,-3950,-16034,-75.63207547,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=5:runner_stop_mode=initial,random_25_per_day,all,0.5,1,5,initial,212,212,212,114,98,30,68,0,0,30,0.14150943,-4850,-16934,-79.87735849,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1.5,1.5,breakeven,212,212,212,101,111,58,53,0,0,58,0.27358491,-8025,-20109,-94.85377358,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=initial,random_25_per_day,all,0.5,1.5,1.5,initial,212,212,212,101,111,82,29,0,0,82,0.38679245,-8400,-20484,-96.62264151,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=2:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1.5,2,breakeven,212,212,212,101,111,42,69,0,0,42,0.19811321,-8175,-20259,-95.56132075,111,101,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
