schema_version,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=1.5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,1.5,breakeven,471,471,471,278,193,111,82,0,0,193,0.40976645,-14650,-17947,-38.10403397,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=1.5:runner_stop_mode=initial,random_25_per_day,all,0.5,1,1.5,initial,471,471,471,278,193,145,48,0,0,145,0.30785563,-14500,-17797,-37.78556263,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=2:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,2,breakeven,471,471,471,278,193,82,111,0,0,193,0.40976645,-14775,-18072,-38.36942675,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=2:runner_stop_mode=initial,random_25_per_day,all,0.5,1,2,initial,471,471,471,278,193,120,73,0,0,120,0.25477707,-14625,-17922,-38.05095541,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=3:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,3,breakeven,471,471,471,278,193,59,134,0,0,193,0.40976645,-14125,-17422,-36.98938429,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=3:runner_stop_mode=initial,random_25_per_day,all,0.5,1,3,initial,471,471,471,278,193,92,101,0,0,92,0.19532909,-14225,-17522,-37.20169851,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1,5,breakeven,471,471,471,278,193,39,154,0,0,193,0.40976645,-13225,-16522,-35.07855626,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1:runner_target_points=5:runner_stop_mode=initial,random_25_per_day,all,0.5,1,5,initial,471,471,471,278,193,60,133,0,0,60,0.12738854,-14625,-17922,-38.05095541,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1.5,1.5,breakeven,471,471,471,252,219,118,101,0,0,219,0.46496815,-23475,-26772,-56.84076433,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=1.5:runner_stop_mode=initial,random_25_per_day,all,0.5,1.5,1.5,initial,471,471,471,252,219,169,50,0,0,169,0.35881104,-23400,-26697,-56.68152866,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,signal_scaled_scalp:strategy=random_25_per_day:direction=all:first_target_points=0.5:stop_points=1.5:runner_target_points=2:runner_stop_mode=breakeven,random_25_per_day,all,0.5,1.5,2,breakeven,471,471,471,252,219,88,131,0,0,219,0.46496815,-23525,-26822,-56.94692144,236,235,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
