schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,first_target_points,stop_points,runner_target_points,runner_stop_mode,input_signal_rows,input_candidates,evaluated_trades,full_stops,first_target_hits,runner_target_hits,runner_stop_exits,end_of_session_exits,other_exits,positive_net_trades,positive_net_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,train,true,2026-05-25;2026-05-27;2026-05-28;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=2:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,2,15,initial,11,11,11,6,5,4,0,1,0,5,0.45454545,2812.5,2598,236.18181818,7,4,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=1:train_dates=8:holdout_dates=1,holdout,true,2026-06-08,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=2:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,2,15,initial,1,1,1,0,1,1,0,0,0,1,1,900,880.5,880.5,1,0,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,train,true,2026-05-27;2026-05-28;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,11,11,11,6,5,5,0,0,0,5,0.45454545,3600,3385.5,307.77272727,7,4,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=2:train_dates=8:holdout_dates=1,holdout,true,2026-06-09,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,4,4,4,2,2,2,0,0,0,2,0.5,1500,1422,355.5,2,2,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,train,true,2026-05-28;2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,14,14,14,8,6,6,0,0,0,6,0.42857143,4200,3927,280.5,9,5,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=3:train_dates=8:holdout_dates=1,holdout,true,2026-06-10,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,10,10,10,7,3,0,3,0,0,3,0.3,-825,-1020,-102,2,8,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,train,true,2026-06-01;2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,22,22,22,14,8,5,3,0,0,8,0.36363636,2625,2196,99.81818182,9,13,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=4:train_dates=8:holdout_dates=1,holdout,true,2026-06-11,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=initial,impulse_continue_3bar_1.5pt,all,3,1.5,15,initial,12,12,12,10,2,1,1,0,0,2,0.16666667,-525,-759,-63.25,5,7,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,train,true,2026-06-02;2026-06-03;2026-06-04;2026-06-05;2026-06-08;2026-06-09;2026-06-10;2026-06-11,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,1.5,15,breakeven,33,33,33,24,9,5,4,0,0,9,0.27272727,1500,856.5,25.95454545,13,20,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
1,scaled_scalp_walk_forward_window=5:train_dates=8:holdout_dates=1,holdout,true,2026-06-12,signal_scaled_scalp:strategy=impulse_continue_3bar_1.5pt:direction=all:first_target_points=3:stop_points=1.5:runner_target_points=15:runner_stop_mode=breakeven,impulse_continue_3bar_1.5pt,all,3,1.5,15,breakeven,16,16,16,11,5,2,3,0,0,5,0.3125,600,288,18,7,9,"two-contract post-signal scalp: one contract exits at first target, one runner uses selected stop mode and runner target"
