schema_version,experiment_id,strategy_id,direction_filter,target_r_multiple,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=0.5,liquidity_sweep_absorption_reversal,all,0.5,43048,23,23,12,11,0,0.52173913,-1000,-1655.5,-71.97826087,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=0.5,liquidity_sweep_absorption_reversal,long,0.5,43048,12,12,7,5,0,0.58333333,-418.75,-760.75,-63.39583333,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=0.5,liquidity_sweep_absorption_reversal,short,0.5,43048,11,11,5,6,0,0.45454545,-581.25,-894.75,-81.34090909,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1,liquidity_sweep_absorption_reversal,all,1,43048,23,23,12,11,0,0.52173913,112.5,-543,-23.60869565,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1,liquidity_sweep_absorption_reversal,long,1,43048,12,12,7,5,0,0.58333333,212.5,-129.5,-10.79166667,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=1,liquidity_sweep_absorption_reversal,short,1,43048,11,11,5,6,0,0.45454545,-100,-413.5,-37.59090909,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1.5,liquidity_sweep_absorption_reversal,all,1.5,43048,23,23,12,11,0,0.52173913,1225,569.5,24.76086957,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1.5,liquidity_sweep_absorption_reversal,long,1.5,43048,12,12,7,5,0,0.58333333,843.75,501.75,41.8125,12,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=1.5,liquidity_sweep_absorption_reversal,short,1.5,43048,11,11,5,6,0,0.45454545,381.25,67.75,6.15909091,0,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2,liquidity_sweep_absorption_reversal,all,2,43048,23,23,12,11,0,0.52173913,2337.5,1682,73.13043478,12,11,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2,liquidity_sweep_absorption_reversal,long,2,43048,12,12,7,5,0,0.58333333,1475,1133,94.41666667,12,0,post-signal target R-multiple sweep using logged entry and stop
