schema_version,experiment_id,strategy_id,direction_filter,target_r_multiple,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=0.5,liquidity_sweep_absorption_reversal,all,0.5,808,2,2,1,0,1,0.5,25,-32,-16,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=0.5,liquidity_sweep_absorption_reversal,long,0.5,808,2,2,1,0,1,0.5,25,-32,-16,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=0.5,none,short,0.5,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1,liquidity_sweep_absorption_reversal,all,1,808,2,2,1,0,1,0.5,75,18,9,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1,liquidity_sweep_absorption_reversal,long,1,808,2,2,1,0,1,0.5,75,18,9,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=1,none,short,1,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=1.5,liquidity_sweep_absorption_reversal,all,1.5,808,2,2,1,0,1,0.5,125,68,34,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=1.5,liquidity_sweep_absorption_reversal,long,1.5,808,2,2,1,0,1,0.5,125,68,34,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=1.5,none,short,1.5,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2,liquidity_sweep_absorption_reversal,all,2,808,2,2,1,0,1,0.5,175,118,59,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2,liquidity_sweep_absorption_reversal,long,2,808,2,2,1,0,1,0.5,175,118,59,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=2,none,short,2,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,808,2,2,1,0,1,0.5,225,168,84,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2.5,liquidity_sweep_absorption_reversal,long,2.5,808,2,2,1,0,1,0.5,225,168,84,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=2.5,none,short,2.5,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=3,liquidity_sweep_absorption_reversal,all,3,808,2,2,1,0,1,0.5,275,218,109,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=3,liquidity_sweep_absorption_reversal,long,3,808,2,2,1,0,1,0.5,275,218,109,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=3,none,short,3,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=3.5,liquidity_sweep_absorption_reversal,all,3.5,808,2,2,1,0,1,0.5,325,268,134,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=3.5,liquidity_sweep_absorption_reversal,long,3.5,808,2,2,1,0,1,0.5,325,268,134,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=3.5,none,short,3.5,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=4,liquidity_sweep_absorption_reversal,all,4,808,2,2,0,1,1,0,-125,-182,-91,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=4,liquidity_sweep_absorption_reversal,long,4,808,2,2,0,1,1,0,-125,-182,-91,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_r:strategy=none:direction=short:target_r=4,none,short,4,808,0,0,0,0,0,0,0,0,0,0,0,post-signal target R-multiple sweep using logged entry and stop
