schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,target_r_multiple,input_signal_rows,input_candidates,evaluated_trades,target_hits,losses,other_exits,win_rate,gross_usd,net_usd,average_net_usd,long_trades,short_trades,notes
1,signal_target_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,2675,12,12,8,4,0,0.66666667,3112.5,2770.5,230.875,7,5,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,1486,3,3,0,3,0,0,-712.5,-798,-266,1,2,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,2567,11,11,7,4,0,0.63636364,2612.5,2299,209,6,5,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=all:target_r=2.5,liquidity_sweep_absorption_reversal,all,2.5,5454,4,4,1,3,0,0.25,-375,-489,-122.25,2,2,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2,liquidity_sweep_absorption_reversal,long,2,3260,6,6,4,2,0,0.66666667,862.5,691.5,115.25,6,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=long:target_r=2,liquidity_sweep_absorption_reversal,long,2,11603,2,2,0,2,0,0,-275,-332,-166,2,0,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=4.5,liquidity_sweep_absorption_reversal,short,4.5,7576,5,5,2,3,0,0.4,743.75,601.25,120.25,0,5,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=4.5,liquidity_sweep_absorption_reversal,short,4.5,13393,2,2,0,2,0,0,-412.5,-469.5,-234.75,0,2,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2,liquidity_sweep_absorption_reversal,short,2,14600,5,5,2,3,0,0.4,175,32.5,6.5,0,5,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2,liquidity_sweep_absorption_reversal,short,2,13424,1,1,0,1,0,0,-175,-203.5,-203.5,0,1,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2,liquidity_sweep_absorption_reversal,short,2,20497,6,6,2,4,0,0.33333333,0,-171,-28.5,0,6,post-signal target R-multiple sweep using logged entry and stop
1,signal_target_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,signal_target_r:strategy=liquidity_sweep_absorption_reversal:direction=short:target_r=2,liquidity_sweep_absorption_reversal,short,2,7535,1,1,0,1,0,0,-87.5,-116,-116,0,1,post-signal target R-multiple sweep using logged entry and stop
