schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,minimum_zone_volume,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,1,0,12,12,7,5,0,0.58333333,1283,106.91666667,7,5,post-diagnostic VAP threshold sweep
1,walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,1,0,3,3,0,3,0,0,-798,-266,1,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,3,0,11,8,6,2,0,0.75,1490.75,186.34375,4,4,post-diagnostic VAP threshold sweep
1,walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,3,0,4,3,0,3,0,0,-685.5,-228.5,2,1,post-diagnostic VAP threshold sweep
1,walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,3,0,11,7,4,3,0,0.57142857,69.25,9.89285714,4,3,post-diagnostic VAP threshold sweep
1,walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,3,0,4,4,0,4,0,0,-751.5,-187.875,2,2,post-diagnostic VAP threshold sweep
1,walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=2:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,short,2,0,11,4,1,3,0,0.25,-270.25,-67.5625,0,4,post-diagnostic VAP threshold sweep
1,walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=2:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,short,2,0,3,1,0,1,0,0,-266,-266,0,1,post-diagnostic VAP threshold sweep
1,walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,3,0,11,4,1,3,0,0.25,-364,-91,4,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,3,0,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,3,0,11,4,1,3,0,0.25,-364,-91,4,0,post-diagnostic VAP threshold sweep
1,walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=3:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,3,0,3,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
