schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,maximum_zone_volume,maximum_zone_levels,minimum_extreme_volume_share,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0,liquidity_sweep_vap_trap_reversal,all,1,3,1,0,12,2,1,1,0,0.5,224.25,112.125,1,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=long:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0,liquidity_sweep_vap_trap_reversal,long,1,3,1,0,12,1,1,0,0,1,502.75,502.75,1,0,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=short:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0,liquidity_sweep_vap_trap_reversal,short,1,3,1,0,12,1,0,1,0,0,-278.5,-278.5,0,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.25,liquidity_sweep_vap_trap_reversal,all,1,3,1,0.25,12,2,1,1,0,0.5,224.25,112.125,1,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=long:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.25,liquidity_sweep_vap_trap_reversal,long,1,3,1,0.25,12,1,1,0,0,1,502.75,502.75,1,0,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=short:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.25,liquidity_sweep_vap_trap_reversal,short,1,3,1,0.25,12,1,0,1,0,0,-278.5,-278.5,0,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,3,1,0.5,12,2,1,1,0,0.5,224.25,112.125,1,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=long:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,long,1,3,1,0.5,12,1,1,0,0,1,502.75,502.75,1,0,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=short:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,short,1,3,1,0.5,12,1,0,1,0,0,-278.5,-278.5,0,1,post-diagnostic VAP trap filter sweep
1,trap_filter_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=1:min_extreme_share=0.75,liquidity_sweep_vap_trap_reversal,all,1,3,1,0.75,12,2,1,1,0,0.5,224.25,112.125,1,1,post-diagnostic VAP trap filter sweep
