schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,maximum_zone_volume,maximum_zone_levels,minimum_extreme_volume_share,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,trap_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,true,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=20:max_zone_levels=5:min_extreme_share=0.25,liquidity_sweep_vap_trap_reversal,all,1,20,5,0.25,12,8,6,2,0,0.75,1953.25,244.15625,4,4,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,true,2026-06-04;2026-06-08,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=20:max_zone_levels=5:min_extreme_share=0.25,liquidity_sweep_vap_trap_reversal,all,1,20,5,0.25,3,3,0,3,0,0,-798,-266,1,2,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,train,true,2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=2:min_extreme_share=0,liquidity_sweep_vap_trap_reversal,all,1,3,2,0,11,5,5,0,0,1,1845,369,2,3,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=2:train_dates=8:holdout_dates=2,holdout,true,2026-06-08;2026-06-10,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=3:max_zone_levels=2:min_extreme_share=0,liquidity_sweep_vap_trap_reversal,all,1,3,2,0,4,0,0,0,0,0,0,0,0,0,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,true,2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=3:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,3,0.5,11,4,3,1,0,0.75,586,146.5,1,3,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,holdout,true,2026-06-10;2026-06-11,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=3:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,3,0.5,4,1,0,1,0,0,-203.5,-203.5,1,0,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,train,true,2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,11,4,2,2,0,0.5,367.25,91.8125,2,2,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=4:train_dates=8:holdout_dates=2,holdout,true,2026-06-11;2026-06-12,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,3,1,0,1,0,0,-203.5,-203.5,1,0,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,train,true,2026-05-27;2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,11,4,1,3,0,0.25,-201.5,-50.375,3,1,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=5:train_dates=8:holdout_dates=2,holdout,true,2026-06-12;2026-06-17,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,2,0,0,0,0,0,0,0,0,0,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=6:train_dates=8:holdout_dates=2,train,true,2026-05-29;2026-06-01;2026-06-03;2026-06-04;2026-06-08;2026-06-10;2026-06-11;2026-06-12,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,11,4,1,3,0,0.25,-201.5,-50.375,3,1,post-diagnostic VAP trap filter sweep
1,trap_filter_walk_forward_window=6:train_dates=8:holdout_dates=2,holdout,true,2026-06-17;2026-06-19,liquidity_sweep_vap_trap_filter:direction=all:min_zone_ratio=1:max_zone_volume=10:max_zone_levels=5:min_extreme_share=0.5,liquidity_sweep_vap_trap_reversal,all,1,10,5,0.5,3,0,0,0,0,0,0,0,0,0,post-diagnostic VAP trap filter sweep
